seed,replica,modelo,turnos,shocks_totales,PIB_ini,PIB_fin,PIB_delta,pobreza_ini,pobreza_fin,pobreza_delta,aprobacion_ini,aprobacion_fin,deuda_fin,bienestar_ini,bienestar_fin,gobernabilidad_fin,estabilidad_fin,idh_fin,estres_fin,coherencia_temporal,diversidad_valores,reformas_totales,reformas_radicales,delta_iva_medio,delta_isr_medio,presup_salud,presup_educacion,presup_seguridad,presup_infraestructura,presup_agro_desarrollo_rural,presup_proteccion_social,presup_servicio_deuda,presup_justicia,presup_otros
1,0,Claude,8,10,115000.0,146486.462252963,31486.462252963014,55.0,41.474662352908176,-13.525337647091824,48.0,26.370061335909124,59.92546889051575,57.13392857142857,65.19542602032502,34.73484448433254,65.30272346534134,72.08309706352154,30.577911092645408,100.0,-0.0,16,1,0.375,1.0625,17.0,17.0,9.875,11.75,10.625,14.25,9.375,6.25,3.875
1,0,OpenAI,8,10,115000.0,147080.37021532666,32080.370215326664,55.0,39.678558059447724,-15.321441940552276,48.0,35.5975660334952,68.34363537189463,57.13392857142857,66.62664375643777,38.38368731597883,63.575553605782666,72.81597451555146,30.27790846586025,100.0,-0.0,16,5,0.0,0.0,20.0,20.0,8.75,9.5,10.25,16.5,6.75,5.5,2.75
2,0,Claude,8,11,115000.0,143944.74253994564,28944.74253994564,55.0,44.926872375090284,-10.073127624909716,48.0,21.134044878096642,50.246912808090755,57.13392857142857,63.42616838395668,31.4844782427127,70.46690686372732,71.86980107227886,30.63361570648346,100.0,-0.0,16,3,0.625,1.25,17.0,17.0,9.875,11.75,10.625,14.25,9.375,6.25,3.875
2,0,OpenAI,8,11,115000.0,145030.49023640223,30030.490236402227,55.0,42.456123897895004,-12.543876102104996,48.0,32.99789943998028,55.77493924957702,57.13392857142857,65.37337935947164,38.230148263407834,69.82800107905068,72.87280056057324,28.557969182450215,100.0,-0.0,16,6,0.0,0.0,21.0,21.0,8.375,8.75,10.125,17.25,5.875,5.25,2.375
3,0,Claude,8,9,115000.0,146435.23714125023,31435.237141250225,55.0,45.03637719567125,-9.96362280432875,48.0,38.28366253974754,59.99831620164754,57.13392857142857,63.19980906817084,37.94691912196539,64.35086366790873,71.85097787009632,31.99727823093646,100.0,-0.0,16,2,0.125,1.4375,16.0,16.0,10.25,12.5,10.75,13.5,10.25,6.5,4.25
3,0,OpenAI,8,9,115000.0,146650.9462199538,31650.946219953796,55.0,42.23339891211923,-12.766601087880773,48.0,51.80430985296863,64.04587617498233,57.13392857142857,65.48752591468173,45.59260423235978,62.75736976604986,73.00820102108406,31.476591290728344,100.0,-0.0,16,2,0.0,0.0,21.0,21.0,8.375,8.75,10.125,17.25,5.875,5.25,2.375
4,0,Claude,8,9,115000.0,146984.33086755848,31984.330867558485,55.0,44.7401707517552,-10.259829248244799,48.0,40.606267658653124,84.9339562856299,57.13392857142857,63.18137677543972,39.429238126530734,55.6453791709274,71.6687291590596,32.16553557428811,100.0,-0.0,16,2,0.5,-0.25,15.0,15.0,10.625,13.25,10.875,12.75,11.125,6.75,4.625
4,0,OpenAI,8,9,115000.0,147551.50546630163,32551.505466301634,55.0,42.40160699365391,-12.598393006346093,48.0,46.95559996649857,53.44254741600182,57.13392857142857,65.06084308241901,44.08524516761782,66.93946917189965,72.62708944181735,30.48545204671484,100.0,-0.0,16,2,0.0,0.0,19.0,19.0,9.125,10.25,10.375,15.75,7.625,5.75,3.125
5,0,Claude,8,12,115000.0,143973.62404323742,28973.624043237418,55.0,46.18121877020116,-8.818781229798837,48.0,19.69978050866375,64.60551619515721,57.13392857142857,62.44283966598617,31.754056720323486,61.71483790942784,71.41653155455639,32.14017398549421,100.0,-0.0,16,1,0.3125,1.25,15.0,15.0,10.625,13.25,10.875,12.75,11.125,6.75,4.625
5,0,OpenAI,8,12,115000.0,144277.23798237808,29277.23798237808,55.0,42.8051141188276,-12.194885881172397,48.0,31.759548730872133,58.12837954531763,57.13392857142857,65.19452187124368,36.93052641923308,65.43737368738948,72.8093451569519,30.996711195402156,100.0,-0.0,16,1,0.0,0.0,21.0,21.0,8.375,8.75,10.125,17.25,5.875,5.25,2.375
6,0,Claude,8,3,115000.0,148970.27304128508,33970.27304128508,55.0,44.23043669857013,-10.76956330142987,48.0,59.470798049706865,54.04567493427777,57.13392857142857,63.44261547769707,51.33152393755548,68.80387421931218,71.83227339477025,28.13652617345786,100.0,-0.0,16,0,0.5,0.625,15.0,15.0,10.625,13.25,10.875,12.75,11.125,6.75,4.625
6,0,OpenAI,8,3,115000.0,149643.24056440912,34643.24056440912,55.0,41.31749947137658,-13.682500528623422,48.0,66.17227636608311,63.454404395147776,57.13392857142857,65.78668628282423,54.277768803988415,65.37367497286445,73.02648443062903,26.3243053147511,100.0,-0.0,16,6,0.0,0.0,20.0,20.0,8.75,9.5,10.25,16.5,6.75,5.5,2.75
7,0,Claude,8,12,115000.0,145940.70245081314,30940.702450813144,55.0,42.54697502638454,-12.453024973615463,48.0,21.644089440756876,43.93504339610257,57.13392857142857,64.98634196564456,29.05076877209701,73.79454356343709,72.49332599723128,30.837821221906374,71.42857142857143,0.8112781244591328,16,3,0.625,1.625,19.0,19.0,9.125,10.25,10.375,15.75,7.625,5.75,3.125
