seed,model,l1_vs_minfin,cos_vs_minfin,w_salud,w_educacion,w_seguridad,w_infraestructura,w_agro_desarrollo_rural,w_proteccion_social,w_servicio_deuda,w_justicia,w_otros
1,claude,62.52,0.7611637774002687,17.0,17.0,9.875,11.75,10.625,14.25,9.375,6.25,3.875
1,openai,64.9,0.7366602092657232,20.0,20.0,8.75,9.5,10.25,16.5,6.75,5.5,2.75
2,claude,62.52,0.7611637774002687,17.0,17.0,9.875,11.75,10.625,14.25,9.375,6.25,3.875
2,openai,66.15,0.7254314898703882,21.0,21.0,8.375,8.75,10.125,17.25,5.875,5.25,2.375
3,claude,62.02,0.7653105616222313,16.0,16.0,10.25,12.5,10.75,13.5,10.25,6.5,4.25
3,openai,66.15,0.7254314898703882,21.0,21.0,8.375,8.75,10.125,17.25,5.875,5.25,2.375
4,claude,61.52,0.7670236136892891,15.0,15.0,10.625,13.25,10.875,12.75,11.125,6.75,4.625
4,openai,63.65,0.7465549365882302,19.0,19.0,9.125,10.25,10.375,15.75,7.625,5.75,3.125
5,claude,61.52,0.7670236136892891,15.0,15.0,10.625,13.25,10.875,12.75,11.125,6.75,4.625
5,openai,66.15,0.7254314898703882,21.0,21.0,8.375,8.75,10.125,17.25,5.875,5.25,2.375
6,claude,61.52,0.7670236136892891,15.0,15.0,10.625,13.25,10.875,12.75,11.125,6.75,4.625
6,openai,64.9,0.7366602092657232,20.0,20.0,8.75,9.5,10.25,16.5,6.75,5.5,2.75
7,claude,63.65,0.7465549365882302,19.0,19.0,9.125,10.25,10.375,15.75,7.625,5.75,3.125
7,openai,63.65,0.7465549365882302,19.0,19.0,9.125,10.25,10.375,15.75,7.625,5.75,3.125
8,claude,63.02,0.7548204613903647,18.0,18.0,9.5,11.0,10.5,15.0,8.5,6.0,3.5
8,openai,67.4,0.713152867157523,22.0,22.0,8.0,8.0,10.0,18.0,5.0,5.0,2.0
9,claude,63.65,0.7465549365882302,19.0,19.0,9.125,10.25,10.375,15.75,7.625,5.75,3.125
9,openai,66.15,0.7254314898703882,21.0,21.0,8.375,8.75,10.125,17.25,5.875,5.25,2.375
10,claude,64.9,0.7366602092657232,20.0,20.0,8.75,9.5,10.25,16.5,6.75,5.5,2.75
10,openai,64.9,0.7366602092657232,20.0,20.0,8.75,9.5,10.25,16.5,6.75,5.5,2.75
11,claude,63.65,0.7465549365882302,19.0,19.0,9.125,10.25,10.375,15.75,7.625,5.75,3.125
11,openai,64.9,0.7366602092657232,20.0,20.0,8.75,9.5,10.25,16.5,6.75,5.5,2.75
12,claude,62.52,0.7611637774002687,17.0,17.0,9.875,11.75,10.625,14.25,9.375,6.25,3.875
12,openai,66.15,0.7254314898703882,21.0,21.0,8.375,8.75,10.125,17.25,5.875,5.25,2.375
13,claude,62.52,0.7611637774002687,17.0,17.0,9.875,11.75,10.625,14.25,9.375,6.25,3.875
13,openai,63.65,0.7465549365882302,19.0,19.0,9.125,10.25,10.375,15.75,7.625,5.75,3.125
14,claude,62.02,0.7653105616222313,16.0,16.0,10.25,12.5,10.75,13.5,10.25,6.5,4.25
14,openai,63.65,0.7465549365882302,19.0,19.0,9.125,10.25,10.375,15.75,7.625,5.75,3.125
15,claude,61.02,0.7661213629220122,14.0,14.0,11.0,14.0,11.0,12.0,12.0,7.0,5.0
15,openai,64.9,0.7366602092657232,20.0,20.0,8.75,9.5,10.25,16.5,6.75,5.5,2.75
16,claude,62.52,0.7611637774002687,17.0,17.0,9.875,11.75,10.625,14.25,9.375,6.25,3.875
16,openai,64.9,0.7366602092657232,20.0,20.0,8.75,9.5,10.25,16.5,6.75,5.5,2.75
17,claude,62.52,0.7611637774002687,17.0,17.0,9.875,11.75,10.625,14.25,9.375,6.25,3.875
17,openai,64.9,0.7366602092657232,20.0,20.0,8.75,9.5,10.25,16.5,6.75,5.5,2.75
18,claude,63.65,0.7465549365882302,19.0,19.0,9.125,10.25,10.375,15.75,7.625,5.75,3.125
18,openai,64.2875,0.7477884317296205,19.63875,19.63875,8.76375,9.13875,10.26375,16.38875,6.63875,6.01375,3.5149999999999997
19,claude,63.02,0.7548204613903647,18.0,18.0,9.5,11.0,10.5,15.0,8.5,6.0,3.5
19,openai,63.02,0.7548204613903647,18.0,18.0,9.5,11.0,10.5,15.0,8.5,6.0,3.5
20,claude,63.65,0.7465549365882302,19.0,19.0,9.125,10.25,10.375,15.75,7.625,5.75,3.125
20,openai,64.9,0.7366602092657232,20.0,20.0,8.75,9.5,10.25,16.5,6.75,5.5,2.75
