seed,model,n_turnos,cos_v1,flag_v1,inconsistent_v1,cos_v2,flag_v2,inconsistent_v2,cos_v3,flag_v3,inconsistent_v3,v3_model
1,claude,8,0.6096097036212678,0,2,0.6380555674714666,0,0,0.4656194016012983,1,6,hash-64-mock
2,claude,8,0.3686886125053113,1,6,0.464849190946198,1,6,0.4278427902734853,1,7,hash-64-mock
3,claude,8,0.3963430976822737,1,5,0.5398221868161523,0,3,0.31581805592156326,1,8,hash-64-mock
4,claude,8,0.5126027692373919,0,4,0.6749931273857838,0,0,0.5454529089600489,0,4,hash-64-mock
5,claude,8,0.5595596681462875,0,3,0.640847312905934,0,0,0.49109924337110195,1,5,hash-64-mock
6,claude,8,0.5381546450603772,0,4,0.7055926322043012,0,1,0.6133400091472708,0,3,hash-64-mock
7,claude,8,0.42237495452471163,1,7,0.628514817035851,0,1,0.4349299120407855,1,7,hash-64-mock
8,claude,8,0.5757199542884683,0,2,0.7416450881282168,0,0,0.5099134078643789,0,5,hash-64-mock
9,claude,8,0.5346240577791115,0,4,0.6838613154575418,0,0,0.5670662135789754,0,0,hash-64-mock
10,claude,8,0.509590603079097,0,4,0.6077671983263265,0,1,0.42173468877693193,1,8,hash-64-mock
11,claude,8,0.48183335949062234,1,5,0.618476001760447,0,1,0.4111006688570324,1,7,hash-64-mock
12,claude,8,0.3846930097173332,1,6,0.510310528471991,0,5,0.43199203632650285,1,7,hash-64-mock
13,claude,8,0.707502918545608,0,2,0.6133430512442744,0,2,0.47337011579211835,1,7,hash-64-mock
14,claude,8,0.5320570444612036,0,4,0.6085602881005732,0,1,0.5051242569258919,0,6,hash-64-mock
15,claude,8,0.08798137691868996,1,8,0.4420272631569198,1,6,0.33583464492869836,1,8,hash-64-mock
16,claude,8,0.7121764496807147,0,1,0.7404091505153354,0,0,0.6435438992497085,0,1,hash-64-mock
17,claude,8,0.16195385253332156,1,8,0.4898586323609704,1,5,0.3310273275434301,1,8,hash-64-mock
18,claude,8,0.7128409111622834,0,0,0.6796095119460009,0,0,0.5052140767900947,0,5,hash-64-mock
19,claude,8,0.5062595138791981,0,4,0.6472195757304835,0,0,0.5222084320363964,0,4,hash-64-mock
20,claude,8,0.5257638475271322,0,3,0.6009228355689464,0,0,0.45829621072678756,1,7,hash-64-mock
1,openai,8,0.7567309503607376,0,0,0.6251034333871883,0,0,0.49931812027766176,1,3,hash-64-mock
2,openai,8,0.8299035291086315,0,0,0.5951439580835538,0,0,0.4496956613765813,1,8,hash-64-mock
3,openai,8,0.8180441801117718,0,1,0.5963581629524318,0,1,0.47640800473027556,1,6,hash-64-mock
4,openai,8,0.8281876488309686,0,0,0.6785226671767263,0,0,0.47798141146228573,1,6,hash-64-mock
5,openai,8,0.8750214118998869,0,0,0.5671468481439891,0,0,0.4156454441279199,1,8,hash-64-mock
6,openai,8,0.8127865881356373,0,0,0.5247064638005536,0,2,0.40227961089508263,1,8,hash-64-mock
7,openai,8,0.9225073642777796,0,0,0.6641995163805711,0,0,0.47266711723393656,1,6,hash-64-mock
8,openai,8,0.8545490165056511,0,0,0.6019987214725295,0,0,0.4435517846420608,1,7,hash-64-mock
9,openai,8,0.9184923905143343,0,0,0.6755959235438593,0,0,0.4706272093811909,1,7,hash-64-mock
10,openai,8,0.9066439762016767,0,0,0.6832091001358113,0,0,0.46509262532291884,1,7,hash-64-mock
11,openai,8,0.8077336451916826,0,0,0.6378408216841177,0,0,0.44013233150547404,1,8,hash-64-mock
12,openai,8,0.8672420822792817,0,0,0.6542175912520672,0,0,0.47405846619306563,1,8,hash-64-mock
13,openai,8,0.8569978426011521,0,0,0.638808589619884,0,0,0.483921057403912,1,8,hash-64-mock
14,openai,8,0.8159195284003671,0,0,0.6839252007617324,0,0,0.4712501176854344,1,7,hash-64-mock
15,openai,8,0.8449584623378821,0,0,0.5743891351190465,0,0,0.4114107007354403,1,8,hash-64-mock
16,openai,8,0.8501705276247661,0,0,0.6552598954664951,0,0,0.4803678403755253,1,5,hash-64-mock
17,openai,8,0.6992337651600199,0,2,0.5167954809383003,0,3,0.41101601702397644,1,8,hash-64-mock
18,openai,8,0.7420845123146456,0,0,0.592487140443865,0,0,0.44575619551243406,1,7,hash-64-mock
19,openai,8,0.9312838372903838,0,0,0.7101582117619734,0,0,0.5636884633329591,0,0,hash-64-mock
20,openai,8,0.667248843380313,0,2,0.5083689934259328,0,1,0.4074430148383417,1,8,hash-64-mock
