seed,replica,model,delta_hogares,delta_ninios,muertes_anuales,welfare_usd_mm
1,0,claude,-492322.2903541423,-31886.399999998932,-5978.699999999954,-7777.069147077798
1,0,openai,-557700.4866361029,-46300.79999999885,-8681.39999999994,-8809.829115817558
2,0,claude,-366661.8455467137,-31886.399999998932,-5978.699999999954,-5792.048384323088
2,0,openai,-456597.0901166218,-51105.599999998834,-9582.299999999937,-7212.728758710373
3,0,claude,-362675.87007756653,-27081.599999998958,-5077.799999999959,-5729.083112489032
3,0,openai,-464704.27959886007,-51105.599999998834,-9582.299999999937,-7340.795625531444
4,0,claude,-373457.78463611065,-22276.79999999898,-4176.899999999964,-5899.401817740759
4,0,openai,-458581.5054309977,-41495.99999999889,-7780.499999999945,-7244.075978649003
5,0,claude,-321003.63676467765,-22276.79999999898,-4176.899999999964,-5070.7992071343315
5,0,openai,-443893.8460746752,-51105.599999998834,-9582.299999999937,-7012.0593816741275
6,0,claude,-392012.1041720472,-22276.79999999898,-4176.899999999964,-6192.498898322175
6,0,openai,-498043.01924189244,-46300.79999999885,-8681.39999999994,-7867.437803958466
7,0,claude,-453290.1090396029,-41495.99999999889,-7780.499999999945,-7160.489359828892
7,0,openai,-466315.62234604795,-41495.99999999889,-7780.499999999945,-7366.249528818065
8,0,claude,-412088.4247371908,-36691.199999998906,-6879.59999999995,-6509.6385775792505
8,0,openai,-495396.79474029335,-55910.39999999881,-10483.199999999932,-7825.636180650239
9,0,claude,-493288.2047151468,-41495.99999999889,-7780.499999999945,-7792.32740964861
9,0,openai,-540155.6984596474,-51105.599999998834,-9582.299999999937,-8532.679302590583
10,0,claude,-408401.5697996911,-46300.79999999885,-8681.39999999994,-6451.398424033583
10,0,openai,-421913.1869140182,-46300.79999999885,-8681.39999999994,-6664.837430647265
11,0,claude,-456261.6832812776,-41495.99999999889,-7780.499999999945,-7207.430436448753
11,0,openai,-483863.3064349357,-46300.79999999885,-8681.39999999994,-7643.445087914506
12,0,claude,-385186.247508113,-31886.399999998932,-5978.699999999954,-6084.672865856181
12,0,openai,-467160.98218351806,-51105.599999998834,-9582.299999999937,-7379.603427349531
13,0,claude,-361328.79230763216,-31886.399999998932,-5978.699999999954,-5707.803724639794
13,0,openai,-409396.6020603074,-41495.99999999889,-7780.499999999945,-6467.116653425186
14,0,claude,-410285.05185915687,-27081.599999998958,-5077.799999999959,-6481.151231291627
14,0,openai,-479679.062146282,-41495.99999999889,-7780.499999999945,-7577.3478223657185
15,0,claude,-335323.79811464495,-17471.999999999007,-3275.999999999969,-5297.010547140682
15,0,openai,-462679.93364150275,-46300.79999999885,-8681.39999999994,-7308.8176330731885
16,0,claude,-432742.3033373994,-31886.399999998932,-5978.699999999954,-6835.901769752875
16,0,openai,-497888.69993126905,-46300.79999999885,-8681.39999999994,-7865.000067595596
17,0,claude,-487107.2684846969,-31886.399999998932,-5978.699999999954,-7694.68899392035
17,0,openai,-552011.8918880133,-46300.79999999885,-8681.39999999994,-8719.968072406804
18,0,claude,-413336.8554097231,-41495.99999999889,-7780.499999999945,-6529.359666499748
18,0,openai,-431801.9205166836,-44844.071999998916,-8408.263499999952,-6821.046821348711
19,0,claude,-482207.2464136933,-36691.199999998906,-6879.59999999995,-7617.284799117408
19,0,openai,-489863.96939979226,-36691.199999998906,-6879.59999999995,-7738.235780353861
20,0,claude,-478988.76565870474,-41495.99999999889,-7780.499999999945,-7566.443413564704
20,0,openai,-506158.19130738964,-46300.79999999885,-8681.39999999994,-7995.6307692788205
