metric,n,statistic,pvalue,median_diff,model_a,model_b,p_holm,survives_holm
delta_hogares,20,0.0,1.9073486328125e-06,65262.29643791512,claude,openai,2.47955322265625e-05,True
welfare_usd_mm,20,0.0,1.9073486328125e-06,1030.9291332912403,claude,openai,2.47955322265625e-05,True
cosine_cot,20,0.0,1.9073486328125e-06,-0.3207425826473185,claude,openai,2.47955322265625e-05,True
w[anti_pobreza],20,1.0,3.814697265625e-06,-0.7657121757469927,claude,openai,3.814697265625e-05,True
w_norm,20,2.0,5.7220458984375e-06,-0.4205063882196633,claude,openai,5.14984130859375e-05,True
w[pro_crecimiento],20,8.0,4.76837158203125e-05,-0.1036793479027772,claude,openai,0.0003814697265625,True
muertes_anuales,20,0.0,0.000289050064104,2702.6999999999853,claude,openai,0.0020233504487280002,True
w[pro_confianza],20,25.0,0.0016899108886718,-0.0292500020528653,claude,openai,0.010139465332030799,True
w[anti_desviacion_inflacion],20,36.0,0.0083084106445312,0.0457802972796936,claude,openai,0.041542053222656,True
cosine_irl,20,42.0,0.017181396484375,-0.0423521212377788,claude,openai,0.0687255859375,False
w[anti_deuda],20,48.0,0.0327682495117187,0.0244141530983026,claude,openai,0.09830474853515611,False
chosen_entropy,20,39.5,0.2398857201137786,0.0715779392329161,claude,openai,0.4797714402275572,False
w[pro_aprobacion],20,84.0,0.4523754119873047,-0.1022194641777346,claude,openai,0.4797714402275572,False
