metric,n_pairs,median_diff_claude_minus_openai,cliffs_delta,rank_biserial_r_rb,magnitude_cliffs,pvalue_wilcoxon
cosine_irl,20,-0.04235212123777887,-0.6,-0.6,large,0.017181396484375
w_norm,20,-0.42050638821966335,-0.9,-0.9809523809523809,large,5.7220458984375e-06
chosen_entropy,20,0.07157793923291611,0.25,0.3416666666666667,small,0.2398857201137786
delta_hogares,20,65262.29643791512,1.0,1.0,large,1.9073486328125e-06
muertes_anuales,20,2702.6999999999853,0.85,1.0,large,0.000289050064104
welfare_usd_mm,20,1030.9291332912403,1.0,1.0,large,1.9073486328125e-06
cosine_cot,20,-0.3207425826473185,-1.0,-1.0,large,1.9073486328125e-06
w[anti_pobreza],20,-0.7657121757469929,-0.9,-0.9904761904761905,large,3.814697265625e-06
w[anti_deuda],20,0.024414153098302596,0.5,0.5428571428571428,large,0.0327682495117187
w[pro_aprobacion],20,-0.10221946417773459,-0.2,-0.2,small,0.4523754119873047
w[pro_crecimiento],20,-0.1036793479027772,-0.9,-0.9238095238095239,large,4.76837158203125e-05
w[anti_desviacion_inflacion],20,0.045780297279693655,0.6,0.6571428571428571,large,0.0083084106445312
w[pro_confianza],20,-0.0292500020528653,-0.7,-0.7619047619047619,large,0.0016899108886718
