seed,model,prior_sigma,cos_to_sigma1
1,claude,0.5,0.9973745360502455
1,claude,2.0,0.984713843189647
1,openai,0.5,0.9989867749675816
1,openai,2.0,0.9940891379403731
2,claude,0.5,0.9988295593808363
2,claude,2.0,0.9950996355976196
2,openai,0.5,0.9995595530132413
2,openai,2.0,0.9971997551836942
3,claude,0.5,0.9947988811760538
3,claude,2.0,0.9692368550008477
3,openai,0.5,0.9997614429669464
3,openai,2.0,0.9983169968277055
4,claude,0.5,0.9979756863878827
4,claude,2.0,0.9866974085188973
4,openai,0.5,0.9992468481991758
4,openai,2.0,0.9910642213996296
5,claude,0.5,0.986876107432441
5,claude,2.0,0.9392696811217316
5,openai,0.5,0.9992508585660002
5,openai,2.0,0.9966912200928892
6,claude,0.5,0.9978576507113492
6,claude,2.0,0.9792773811936675
6,openai,0.5,0.9994598241935284
6,openai,2.0,0.9962363060918202
7,claude,0.5,0.9990699662262966
7,claude,2.0,0.9983587581991115
7,openai,0.5,0.9997577755535686
7,openai,2.0,0.9988678491459039
8,claude,0.5,0.9977766838037888
8,claude,2.0,0.9822031744716984
8,openai,0.5,0.9998645893968067
8,openai,2.0,0.9998534972941999
9,claude,0.5,0.9974746626910751
9,claude,2.0,0.9842687049180258
9,openai,0.5,0.9994211322624558
9,openai,2.0,0.9982967788726579
10,claude,0.5,0.9987168386876869
10,claude,2.0,0.9901787996895953
10,openai,0.5,0.9994194883975316
10,openai,2.0,0.9974952559139144
11,claude,0.5,0.9989680447201444
11,claude,2.0,0.9885435379646653
11,openai,0.5,0.9995939928653629
11,openai,2.0,0.9949915321892219
12,claude,0.5,0.9962858399848409
12,claude,2.0,0.9770028792333177
12,openai,0.5,0.9997696833078041
12,openai,2.0,0.9964049939424465
13,claude,0.5,0.9985848144176481
13,claude,2.0,0.9833718498761371
13,openai,0.5,0.9995987241798158
13,openai,2.0,0.9958426270447694
14,claude,0.5,0.9952745952093602
14,claude,2.0,0.9633383318848779
14,openai,0.5,0.9985676493372228
14,openai,2.0,0.993638872854351
15,claude,0.5,0.9785148323213688
15,claude,2.0,0.9065360440586029
15,openai,0.5,0.9991473542971149
15,openai,2.0,0.9990135819754398
16,claude,0.5,0.9974270526553126
16,claude,2.0,0.9915618676787548
16,openai,0.5,0.9999165212140884
16,openai,2.0,0.9940451435407458
17,claude,0.5,0.9964196388801878
17,claude,2.0,0.9591214342690318
17,openai,0.5,0.9996067283475449
17,openai,2.0,0.998903846349996
18,claude,0.5,0.9994709505358399
18,claude,2.0,0.9982724066514685
18,openai,0.5,0.999504100065461
18,openai,2.0,0.9960062835640365
19,claude,0.5,0.999517460658605
19,claude,2.0,0.9917046582686901
19,openai,0.5,0.9984108543785575
19,openai,2.0,0.9905935520550098
20,claude,0.5,0.9954807992845032
20,claude,2.0,0.983179678239048
20,openai,0.5,0.9991359175421693
20,openai,2.0,0.9915999202716436
