seed,model,prior_sigma,cos_to_sigma1
1,claude,0.1,0.9977172283148538
1,claude,0.25,0.9987929900217131
1,claude,0.5,0.9973745360502455
1,claude,2.0,0.984713843189647
1,claude,5.0,0.6943743676702111
1,claude,10.0,0.3535183319316926
1,openai,0.1,0.9985452540729318
1,openai,0.25,0.9988116918565542
1,openai,0.5,0.9989867749675816
1,openai,2.0,0.9940891379403731
1,openai,5.0,0.8505992442726057
1,openai,10.0,0.5927067703950042
2,claude,0.1,0.9975062764975364
2,claude,0.25,0.9970090352673822
2,claude,0.5,0.9988295593808363
2,claude,2.0,0.9950996355976196
2,claude,5.0,0.8713598091905165
2,claude,10.0,0.6159786959870848
2,openai,0.1,0.9991467635953967
2,openai,0.25,0.9991365585262886
2,openai,0.5,0.9995595530132413
2,openai,2.0,0.9971997551836942
2,openai,5.0,0.9761927360485335
2,openai,10.0,0.9183135251309109
3,claude,0.1,0.948577594757903
3,claude,0.25,0.997915703193
3,claude,0.5,0.9947988811760538
3,claude,2.0,0.9692368550008477
3,claude,5.0,0.6628202000103708
3,claude,10.0,0.3513119100011287
3,openai,0.1,0.9982626749912931
3,openai,0.25,0.9997207024283494
3,openai,0.5,0.9997614429669464
3,openai,2.0,0.9983169968277055
3,openai,5.0,0.9710245862819951
3,openai,10.0,0.8415069463753568
4,claude,0.1,0.9935936388561382
4,claude,0.25,0.9914517672418238
4,claude,0.5,0.9979756863878827
4,claude,2.0,0.9866974085188973
4,claude,5.0,0.6878661775620473
4,claude,10.0,0.3436573671847919
4,openai,0.1,0.9870257384355032
4,openai,0.25,0.999087528116827
4,openai,0.5,0.9992468481991758
4,openai,2.0,0.9910642213996296
4,openai,5.0,0.8203585694078409
4,openai,10.0,0.4488776096841341
5,claude,0.1,0.9541183718875612
5,claude,0.25,0.9815827090650742
5,claude,0.5,0.986876107432441
5,claude,2.0,0.9392696811217316
5,claude,5.0,0.6059687034226487
5,claude,10.0,0.44728859667431053
5,openai,0.1,0.9987289945897142
5,openai,0.25,0.9989687652447251
5,openai,0.5,0.9992508585660002
5,openai,2.0,0.9966912200928892
5,openai,5.0,0.9077249279543446
5,openai,10.0,0.6282437808236936
6,claude,0.1,0.9857366603954033
6,claude,0.25,0.9928239485749734
6,claude,0.5,0.9978576507113492
6,claude,2.0,0.9792773811936675
6,claude,5.0,0.7233636387460167
6,claude,10.0,0.3486040120055161
6,openai,0.1,0.9982116798766115
6,openai,0.25,0.997581007748174
6,openai,0.5,0.9994598241935284
6,openai,2.0,0.9962363060918202
6,openai,5.0,0.9294821397361253
6,openai,10.0,0.656479985024416
7,claude,0.1,0.997654888190345
7,claude,0.25,0.9977405674694331
7,claude,0.5,0.9990699662262966
7,claude,2.0,0.9983587581991115
7,claude,5.0,0.9189043858126916
7,claude,10.0,0.6128077198014841
7,openai,0.1,0.9993594485444298
7,openai,0.25,0.9986491021776642
7,openai,0.5,0.9997577755535686
7,openai,2.0,0.9988678491459039
7,openai,5.0,0.9785008453268407
7,openai,10.0,0.8253655579903086
8,claude,0.1,0.9904178951201883
8,claude,0.25,0.9949471862139543
8,claude,0.5,0.9977766838037888
8,claude,2.0,0.9822031744716984
8,claude,5.0,0.702079905265624
8,claude,10.0,0.3803857532564956
8,openai,0.1,0.996774807024486
8,openai,0.25,0.9996589186655963
8,openai,0.5,0.9998645893968067
8,openai,2.0,0.9998534972941999
8,openai,5.0,0.9995731226307851
8,openai,10.0,0.9990942056487636
9,claude,0.1,0.9975925495258673
9,claude,0.25,0.9975913796036042
9,claude,0.5,0.9974746626910751
9,claude,2.0,0.9842687049180258
9,claude,5.0,0.6935852594822244
9,claude,10.0,0.3651620166005164
9,openai,0.1,0.9981839204374859
9,openai,0.25,0.9985728468248057
9,openai,0.5,0.9994211322624558
9,openai,2.0,0.9982967788726579
9,openai,5.0,0.9685138257912376
9,openai,10.0,0.8142807086765861
10,claude,0.1,0.996988030266832
10,claude,0.25,0.999187829702384
10,claude,0.5,0.9987168386876869
10,claude,2.0,0.9901787996895953
10,claude,5.0,0.8171503332608464
10,claude,10.0,0.5081382101975107
10,openai,0.1,0.9925725263448524
10,openai,0.25,0.9992002264094085
10,openai,0.5,0.9994194883975316
10,openai,2.0,0.9974952559139144
10,openai,5.0,0.9621757204831106
10,openai,10.0,0.7763970149396652
11,claude,0.1,0.9941513923487293
11,claude,0.25,0.9982205855843453
11,claude,0.5,0.9989680447201444
11,claude,2.0,0.9885435379646653
11,claude,5.0,0.772966479730417
11,claude,10.0,0.5118005051322286
11,openai,0.1,0.9983930762804235
11,openai,0.25,0.9995492946654982
11,openai,0.5,0.9995939928653629
11,openai,2.0,0.9949915321892219
11,openai,5.0,0.9300538163551357
11,openai,10.0,0.6607322235010886
12,claude,0.1,0.9930443522378715
12,claude,0.25,0.9927749320890221
12,claude,0.5,0.9962858399848409
12,claude,2.0,0.9770028792333177
12,claude,5.0,0.651792997623582
12,claude,10.0,0.3651748560824286
12,openai,0.1,0.9979250156204723
12,openai,0.25,0.9997700441702038
12,openai,0.5,0.9997696833078041
12,openai,2.0,0.9964049939424465
12,openai,5.0,0.9285537000311247
12,openai,10.0,0.7235415181947825
13,claude,0.1,0.9683340448966065
13,claude,0.25,0.9906793150557017
13,claude,0.5,0.9985848144176481
13,claude,2.0,0.9833718498761371
13,claude,5.0,0.6792447381590432
13,claude,10.0,0.3773266710571393
13,openai,0.1,0.9979394755427435
13,openai,0.25,0.999033077418006
13,openai,0.5,0.9995987241798158
13,openai,2.0,0.9958426270447694
13,openai,5.0,0.901461098307634
13,openai,10.0,0.6378936684646395
14,claude,0.1,0.9910620776565846
14,claude,0.25,0.9965556331194381
14,claude,0.5,0.9952745952093602
14,claude,2.0,0.9633383318848779
14,claude,5.0,0.586654962503462
14,claude,10.0,0.36992956768349367
14,openai,0.1,0.9943566643268288
14,openai,0.25,0.9983797029957224
14,openai,0.5,0.9985676493372228
14,openai,2.0,0.993638872854351
14,openai,5.0,0.8525584057383432
14,openai,10.0,0.4890773361658762
15,claude,0.1,0.8533655861646878
15,claude,0.25,0.966328896009696
15,claude,0.5,0.9785148323213688
15,claude,2.0,0.9065360440586029
15,claude,5.0,0.5886288491693467
15,claude,10.0,0.46443431193572826
15,openai,0.1,0.9907430570175971
15,openai,0.25,0.9987166972348397
15,openai,0.5,0.9991473542971149
15,openai,2.0,0.9990135819754398
15,openai,5.0,0.9354663992107374
15,openai,10.0,0.6481627923787652
16,claude,0.1,0.9898899953641055
16,claude,0.25,0.9963557807954548
16,claude,0.5,0.9974270526553126
16,claude,2.0,0.9915618676787548
16,claude,5.0,0.814307065993501
16,claude,10.0,0.5621257306199902
16,openai,0.1,0.9978035721016694
16,openai,0.25,0.9992771370332144
16,openai,0.5,0.9999165212140884
16,openai,2.0,0.9940451435407458
