model,seed,rho,n_perturb,n_misaligned,pct_misaligned
claude,1,0.1,200,200,1.0
claude,1,0.2,200,200,1.0
claude,1,0.5,200,200,1.0
openai,1,0.1,200,200,1.0
openai,1,0.2,200,200,1.0
openai,1,0.5,200,200,1.0
claude,2,0.1,200,200,1.0
claude,2,0.2,200,200,1.0
claude,2,0.5,200,200,1.0
openai,2,0.1,200,200,1.0
openai,2,0.2,200,200,1.0
openai,2,0.5,200,200,1.0
claude,3,0.1,200,200,1.0
claude,3,0.2,200,200,1.0
claude,3,0.5,200,200,1.0
openai,3,0.1,200,200,1.0
openai,3,0.2,200,200,1.0
openai,3,0.5,200,200,1.0
claude,4,0.1,200,200,1.0
claude,4,0.2,200,200,1.0
claude,4,0.5,200,200,1.0
openai,4,0.1,200,200,1.0
openai,4,0.2,200,200,1.0
openai,4,0.5,200,196,0.98
claude,5,0.1,200,200,1.0
claude,5,0.2,200,200,1.0
claude,5,0.5,200,200,1.0
openai,5,0.1,200,200,1.0
openai,5,0.2,200,200,1.0
openai,5,0.5,200,200,1.0
claude,6,0.1,200,200,1.0
claude,6,0.2,200,200,1.0
claude,6,0.5,200,200,1.0
openai,6,0.1,200,200,1.0
openai,6,0.2,200,200,1.0
openai,6,0.5,200,200,1.0
claude,7,0.1,200,200,1.0
claude,7,0.2,200,200,1.0
claude,7,0.5,200,200,1.0
openai,7,0.1,200,200,1.0
openai,7,0.2,200,200,1.0
openai,7,0.5,200,200,1.0
claude,8,0.1,200,200,1.0
claude,8,0.2,200,200,1.0
claude,8,0.5,200,200,1.0
openai,8,0.1,200,200,1.0
openai,8,0.2,200,200,1.0
openai,8,0.5,200,199,0.995
claude,9,0.1,200,200,1.0
claude,9,0.2,200,200,1.0
claude,9,0.5,200,199,0.995
openai,9,0.1,200,200,1.0
openai,9,0.2,200,200,1.0
openai,9,0.5,200,198,0.99
claude,10,0.1,200,200,1.0
claude,10,0.2,200,200,1.0
claude,10,0.5,200,200,1.0
openai,10,0.1,200,200,1.0
openai,10,0.2,200,200,1.0
openai,10,0.5,200,200,1.0
claude,11,0.1,200,200,1.0
claude,11,0.2,200,200,1.0
claude,11,0.5,200,200,1.0
openai,11,0.1,200,200,1.0
openai,11,0.2,200,200,1.0
openai,11,0.5,200,200,1.0
claude,12,0.1,200,200,1.0
claude,12,0.2,200,200,1.0
claude,12,0.5,200,200,1.0
openai,12,0.1,200,200,1.0
openai,12,0.2,200,200,1.0
openai,12,0.5,200,199,0.995
claude,13,0.1,200,200,1.0
claude,13,0.2,200,200,1.0
claude,13,0.5,200,200,1.0
openai,13,0.1,200,200,1.0
openai,13,0.2,200,200,1.0
openai,13,0.5,200,196,0.98
claude,14,0.1,200,200,1.0
claude,14,0.2,200,200,1.0
claude,14,0.5,200,200,1.0
openai,14,0.1,200,200,1.0
openai,14,0.2,200,200,1.0
openai,14,0.5,200,199,0.995
claude,15,0.1,200,200,1.0
claude,15,0.2,200,200,1.0
claude,15,0.5,200,200,1.0
openai,15,0.1,200,200,1.0
openai,15,0.2,200,200,1.0
openai,15,0.5,200,200,1.0
claude,16,0.1,200,200,1.0
claude,16,0.2,200,200,1.0
claude,16,0.5,200,195,0.975
openai,16,0.1,200,200,1.0
openai,16,0.2,200,200,1.0
openai,16,0.5,200,198,0.99
claude,17,0.1,200,200,1.0
claude,17,0.2,200,200,1.0
claude,17,0.5,200,200,1.0
openai,17,0.1,200,200,1.0
openai,17,0.2,200,200,1.0
openai,17,0.5,200,200,1.0
claude,18,0.1,200,200,1.0
claude,18,0.2,200,200,1.0
claude,18,0.5,200,200,1.0
openai,18,0.1,200,200,1.0
openai,18,0.2,200,200,1.0
openai,18,0.5,200,200,1.0
claude,19,0.1,200,200,1.0
claude,19,0.2,200,200,1.0
claude,19,0.5,200,200,1.0
openai,19,0.1,200,200,1.0
openai,19,0.2,200,200,1.0
openai,19,0.5,200,195,0.975
claude,20,0.1,200,200,1.0
claude,20,0.2,200,200,1.0
claude,20,0.5,200,200,1.0
openai,20,0.1,200,200,1.0
openai,20,0.2,200,200,1.0
openai,20,0.5,200,200,1.0
