model,seed,n_turnos,cosine_v1,n_inconsistent_v1,flag_v1,cosine_v2,n_inconsistent_v2,flag_v2,kappa_per_turn,flags_concur
claude,1,8,0.6096097036212678,2,0,0.6380555674714666,0,0,0.0,1
openai,1,8,0.7567309503607376,0,0,0.6251034333871883,0,0,,1
claude,2,8,0.3686886125053113,6,1,0.464849190946198,6,1,0.3333333333333333,1
openai,2,8,0.8299035291086315,0,0,0.5951439580835538,0,0,,1
claude,3,8,0.3963430976822737,5,1,0.5398221868161523,3,0,-0.4117647058823529,0
openai,3,8,0.8180441801117718,1,0,0.5963581629524318,1,0,-0.14285714285714285,1
claude,4,8,0.5126027692373919,4,0,0.6749931273857838,0,0,0.0,1
openai,4,8,0.8281876488309686,0,0,0.6785226671767263,0,0,,1
claude,5,8,0.5595596681462875,3,0,0.640847312905934,0,0,0.0,1
openai,5,8,0.8750214118998869,0,0,0.5671468481439891,0,0,,1
claude,6,8,0.5381546450603772,4,0,0.7055926322043012,1,0,0.25,1
openai,6,8,0.8127865881356373,0,0,0.5247064638005536,2,0,0.0,1
claude,7,8,0.42237495452471163,7,1,0.628514817035851,1,0,0.04,0
openai,7,8,0.9225073642777796,0,0,0.6641995163805711,0,0,,1
claude,8,8,0.5757199542884683,2,0,0.7416450881282168,0,0,0.0,1
openai,8,8,0.8545490165056511,0,0,0.6019987214725295,0,0,,1
claude,9,8,0.5346240577791115,4,0,0.6838613154575418,0,0,0.0,1
openai,9,8,0.9184923905143343,0,0,0.6755959235438593,0,0,,1
claude,10,8,0.509590603079097,4,0,0.6077671983263265,1,0,0.25,1
openai,10,8,0.9066439762016767,0,0,0.6832091001358113,0,0,,1
claude,11,8,0.48183335949062234,5,1,0.618476001760447,1,0,0.15789473684210525,0
openai,11,8,0.8077336451916826,0,0,0.6378408216841177,0,0,,1
claude,12,8,0.3846930097173332,6,1,0.510310528471991,5,0,0.14285714285714285,0
openai,12,8,0.8672420822792817,0,0,0.6542175912520672,0,0,,1
claude,13,8,0.707502918545608,2,0,0.6133430512442744,2,0,0.3333333333333333,1
openai,13,8,0.8569978426011521,0,0,0.638808589619884,0,0,,1
claude,14,8,0.5320570444612036,4,0,0.6085602881005732,1,0,0.25,1
openai,14,8,0.8159195284003671,0,0,0.6839252007617324,0,0,,1
claude,15,8,0.08798137691868996,8,1,0.4420272631569198,6,1,0.0,1
openai,15,8,0.8449584623378821,0,0,0.5743891351190465,0,0,,1
claude,16,8,0.7121764496807147,1,0,0.7404091505153354,0,0,0.0,1
openai,16,8,0.8501705276247661,0,0,0.6552598954664951,0,0,,1
claude,17,8,0.16195385253332156,8,1,0.4898586323609704,5,1,0.0,1
openai,17,8,0.6992337651600199,2,0,0.5167954809383003,3,0,0.14285714285714285,1
claude,18,8,0.7128409111622834,0,0,0.6796095119460009,0,0,,1
openai,18,8,0.7420845123146456,0,0,0.592487140443865,0,0,,1
claude,19,8,0.5062595138791981,4,0,0.6472195757304835,0,0,0.0,1
openai,19,8,0.9312838372903838,0,0,0.7101582117619734,0,0,,1
claude,20,8,0.5257638475271322,3,0,0.6009228355689464,0,0,0.0,1
openai,20,8,0.667248843380313,2,0,0.5083689934259328,1,0,-0.2,1
