model,seed,drop_idx,n_turnos_kept,cosine_dir_K4_vs_K5,skipped,rhat_max_K4,ess_bulk_min_K4
claude,1,0,8,0.9974929949336366,,1.01,1844.0
claude,1,1,8,0.9921942020674798,,1.0,1590.0
claude,1,2,5,0.9730679565932498,,1.0,2073.0
claude,1,3,8,0.9868680414743933,,1.0,1576.0
claude,1,4,3,0.9863296835743098,,1.0,1837.0
openai,1,0,8,0.9992366999423474,,1.0,1468.0
openai,1,1,8,0.9993441050461556,,1.0,1666.0
openai,1,2,2,0.7360463004850544,,1.0,1679.0
openai,1,3,8,0.9958312050671941,,1.0,1984.0
openai,1,4,6,0.9738650306952926,,1.0,2064.0
claude,2,0,8,0.9980900267084665,,1.0,2077.0
claude,2,1,8,0.9988491767857884,,1.0,1784.0
claude,2,2,5,0.876349270442235,,1.0,1698.0
claude,2,3,8,0.9538142192446718,,1.0,1541.0
claude,2,4,3,0.9967347515483533,,1.0,1830.0
openai,2,0,8,0.9977126407244611,,1.0,1857.0
openai,2,1,8,0.9985838403817162,,1.0,1602.0
openai,2,2,1,,too_few_turns,,
openai,2,3,8,0.9994793977724776,,1.0,1770.0
openai,2,4,7,0.9972446896239984,,1.0,1786.0
claude,3,0,8,0.9951152929607049,,1.0,1919.0
claude,3,1,8,0.9901485347304351,,1.0,1585.0
claude,3,2,6,0.844596928462671,,1.0,2134.0
claude,3,3,8,0.9198627326344436,,1.0,1847.0
claude,3,4,2,0.9553089238064868,,1.0,1276.0
openai,3,0,8,0.9995834277015869,,1.0,1605.0
openai,3,1,8,0.9984372741866262,,1.0,1706.0
openai,3,2,1,,too_few_turns,,
openai,3,3,8,0.9984670941809598,,1.0,1789.0
openai,3,4,7,0.987680146045009,,1.0,1550.0
claude,4,0,8,0.9859655765687425,,1.0,1855.0
claude,4,1,8,0.9678740202448185,,1.0,1786.0
claude,4,2,7,0.9960759361999264,,1.0,1741.0
claude,4,3,8,0.8774897555266995,,1.0,1923.0
claude,4,4,1,,too_few_turns,,
openai,4,0,8,0.9984270536808597,,1.0,1873.0
openai,4,1,8,0.9957341098078167,,1.01,1853.0
openai,4,2,3,0.9627729558644091,,1.01,1983.0
openai,4,3,8,0.9976728669046321,,1.0,1687.0
openai,4,4,5,0.9825162703705345,,1.0,1756.0
claude,5,0,8,0.9727073220460838,,1.0,1727.0
