seed,model,dropped_feature,dropped_idx,cos_vs_full_5dim_subset,significantly_misaligned,w_norm_5dim_subset,w_anti_deuda,w_pro_aprobacion,w_pro_crecimiento,w_anti_desviacion_inflacion,w_pro_confianza,w_anti_pobreza
1,claude,NONE,-1,,True,1.1373669508438091,,,,,,
1,claude,anti_pobreza,0,0.9715401328055451,True,0.22520843407524682,0.10829990506486138,-0.10858107324665058,0.12898850222079958,-0.09883306473824979,0.028179983737610968,
1,claude,anti_deuda,1,0.999146398134625,True,1.1104900544289076,,-0.08122647340794499,0.10127468116340092,-0.11628868765710594,0.012707879306627829,1.096653687763368
1,claude,pro_aprobacion,2,0.9996242707797779,True,1.1201929105336828,0.08707529040504819,,0.06998641988976656,-0.10747958861081115,0.017681273992913093,1.1092733938141002
1,claude,pro_crecimiento,3,0.9996912241009863,True,1.1237625099385196,0.08803558897786519,-0.06347616982245873,,-0.10900395263839095,0.026075853190944173,1.1128795432888878
1,claude,anti_desviacion_inflacion,4,0.9993823834447352,True,1.143367492039649,0.08747720217702362,-0.09355202981847141,0.08367227413110993,,0.010388496131232473,1.1330383966834578
1,claude,pro_confianza,5,0.9996416668484386,True,1.1372042379814076,0.08242783265381014,-0.07880045788096783,0.056519292628475014,-0.08653975024305186,,1.1267413457902686
1,openai,NONE,-1,,True,2.0033606243235598,,,,,,
1,openai,anti_pobreza,0,0.9866385259621369,True,0.580508184721271,-0.039420635757344544,-0.4030054106438214,0.38964087322989144,-0.05820347223751836,0.133471909871782,
1,openai,anti_deuda,1,0.999879128810989,True,2.013407955923278,,-0.3908188486791961,0.2953546556668062,-0.02981381878395739,0.11187799504959568,1.9494697490090382
1,openai,pro_aprobacion,2,0.9998828266945593,True,1.9311904343319592,-0.02421268141328717,,0.2827226294734997,-0.0340835067622052,0.06232829706618736,1.9089084976628006
1,openai,pro_crecimiento,3,0.9997095819008474,True,1.980139748110197,0.0238204932925723,-0.37884634157888925,,-0.06110627627950301,0.08542306503496135,1.9405747546994396
1,openai,anti_desviacion_inflacion,4,0.9999505941774387,True,1.995340519292724,-0.017199718286693588,-0.39382236403276105,0.27353391803974136,,0.08241364008801978,1.9350398163394813
1,openai,pro_confianza,5,0.999929479198254,True,2.0073007912781295,-0.0034737863935550843,-0.4016035282206198,0.2809207971217362,-0.04118099863198338,,1.9461106434863378
2,claude,NONE,-1,,True,1.0656305087581315,,,,,,
2,claude,anti_pobreza,0,0.9904519545285683,True,0.470675527839813,0.0070527171818617704,-0.4696683537959863,0.028117572714004998,-0.002835750132656449,-0.009935278358719284,
2,claude,anti_deuda,1,0.9991211849791064,True,1.0617129875737052,,-0.42548023563228715,0.0007213777977222144,0.015848553890740167,-0.013316701391639485,0.9725081004735475
2,claude,pro_aprobacion,2,0.9997000289341414,True,0.9757665822076741,0.0027159669450219225,,-0.0358714413149108,-0.002450320706932815,-0.016496052999565847,0.974960595274834
2,claude,pro_crecimiento,3,0.9994793598817938,True,1.0685271802648832,-0.005449117178218511,-0.4386031876670928,,0.025617480108692223,-0.01236195333819669,0.9739295727503146
2,claude,anti_desviacion_inflacion,4,0.9996614003258089,True,1.0801109324383256,-0.027696290668361462,-0.4442205928432117,-0.022221141748053105,,0.0032230572193837803,0.9838884283858622
2,claude,pro_confianza,5,0.9995525819490741,True,1.0663343602139865,-0.015084913814226213,-0.4369801554720603,-0.010952451361316912,0.016979272969801232,,0.9723587326549796
2,openai,NONE,-1,,True,2.2199079484673407,,,,,,
2,openai,anti_pobreza,0,0.8713431318488085,True,0.3553824723150068,-0.04590367911235636,0.2627109955898409,0.21722922993145363,-0.059012850370570843,0.06709271065771044,
2,openai,anti_deuda,1,0.9998967755506427,True,2.239573077781962,,0.35560123227819895,0.061623543301003926,-0.08473393128769868,0.021462791246033154,2.208573608173267
2,openai,pro_aprobacion,2,0.9999089524907874,True,2.172025494346038,-0.022512330063776453,,0.07514927277416525,-0.0507819749268526,0.0043257055954163725,2.170009909926541
2,openai,pro_crecimiento,3,0.9998687629085606,True,2.2231248746221963,-0.019418243921043684,0.3505312176128862,,-0.0648813228274832,0.02853136548892438,2.194085545410046
2,openai,anti_desviacion_inflacion,4,0.9999470904271914,True,2.237501694627178,-0.03866375079727383,0.36978632472466705,0.05522404961156109,,0.01214537048503928,2.2056699245808935
2,openai,pro_confianza,5,0.9999968761021587,True,2.2329715083389443,-0.05007547471996528,0.35210240143749233,0.07209837023145865,-0.056731193393651486,,2.202557944639169
3,claude,NONE,-1,,True,0.8660884174276756,,,,,,
3,claude,anti_pobreza,0,0.994074376312357,True,0.3733955561057461,0.07797541469432659,-0.3616085580897348,-0.010010689170996987,0.04805246800186535,-0.013193678800147922,
3,claude,anti_deuda,1,0.9985610885510671,True,0.8632641716462985,,-0.3200022783358868,-0.055339487493004755,0.008954997646775594,-0.021091465400260686,0.7995224018978073
3,claude,pro_aprobacion,2,0.9995158087661997,True,0.802697254192442,0.053497844271124334,,-0.0626133810928873,0.033097885392047784,-0.010626072955122048,0.7977042331658222
3,claude,pro_crecimiento,3,0.999862126467885,True,0.8529081150600752,0.0582144750761259,-0.3281331961151276,,0.04091128600403907,-0.011423039135084679,0.7839564491020065
3,claude,anti_desviacion_inflacion,4,0.9995296457723966,True,0.8700552916295032,0.09283883556031067,-0.3453393604421216,-0.054520521853492654,,-0.014817155530099125,0.7911547584591473
3,claude,pro_confianza,5,0.9995983696106615,True,0.8664989931668653,0.09035934547641285,-0.3488315807373554,-0.04377199173763382,0.04355277968980516,,0.7855949275836468
3,openai,NONE,-1,,True,2.1521831063795407,,,,,,
3,openai,anti_pobreza,0,0.9604873259095482,True,0.4872938778739258,-0.05759006902938362,-0.3648527067861028,0.30973457583793346,-0.013507785789150819,0.07002315307827306,
3,openai,anti_deuda,1,0.999967496580359,True,2.151123581612074,,-0.3594064606737755,0.17575433681377334,-0.00831034646864713,0.05442026824305939,2.112874687488726
3,openai,pro_aprobacion,2,0.9999682895961095,True,2.095988998093574,-0.028144323502907694,,0.17594519391282562,0.00724818227500392,0.04042552825458235,2.0879976787443737
3,openai,pro_crecimiento,3,0.9998687081785812,True,2.146752552310334,-0.028039110981166557,-0.3538960893968485,,-0.02388787765453765,0.03744767304089875,2.1167297721015124
3,openai,anti_desviacion_inflacion,4,0.9999335177062466,True,2.143135302656912,-0.014208644407037676,-0.34583478735770695,0.18481040643684715,,0.05233486962730914,2.106260077688754
3,openai,pro_confianza,5,0.9999331946943063,True,2.1600222122174726,-0.026726659665242434,-0.3579261919924907,0.1839100024652611,-0.010566415480184945,,2.1220122398042114
4,claude,NONE,-1,,True,0.6511603641317435,,,,,,
4,claude,anti_pobreza,0,0.9900714860377327,True,0.1565176099625305,0.022787744634910456,-0.13383590763897926,0.035861489057098024,0.06515762774936414,0.02312721120175277,
4,claude,anti_deuda,1,0.9973251476874136,True,0.6491990599602245,,-0.11533049694743924,-0.020965870727759635,0.05492597990174626,0.008326524621897808,0.6361073289243543
4,claude,pro_aprobacion,2,0.9985249699517069,True,0.6398838712422893,0.016685746752722632,,-0.003991540601190673,0.04832396022089535,-0.0025371777024202767,0.6378208053464762
4,claude,pro_crecimiento,3,0.9998351627038258,True,0.643302331136798,0.02657558107225504,-0.11891121103262436,,0.05710214175127748,0.012578747905361586,0.6289458419737073
4,claude,anti_desviacion_inflacion,4,0.998496050044849,True,0.6514528455523126,0.008549461144621741,-0.1323492835787303,0.006160576030800834,,0.005232900720565049,0.6377586125498864
4,claude,pro_confianza,5,0.9994522795307507,True,0.6556500065836739,0.037273197774595014,-0.11705220007955369,0.03894097595188837,0.07046636208675579,,0.638987100435945
4,openai,NONE,-1,,True,1.6036799870937244,,,,,,
4,openai,anti_pobreza,0,0.8771003083923349,True,0.2146403177873032,0.06023836041343599,0.14083185252206706,0.1359303994177227,0.04343850363877158,0.04737318002310002,
4,openai,anti_deuda,1,0.9999025641829999,True,1.5987640134773586,,0.20091980181196148,0.05721848788650684,0.0417703455690057,0.010561444402122437,1.5844706822144872
4,openai,pro_aprobacion,2,0.999872595489402,True,1.5546666043409392,0.06365712826981183,,0.028221382233441207,0.029299698020764344,0.023348068234774495,1.5526544913997633
4,openai,pro_crecimiento,3,0.9998123249688587,True,1.5922672435544005,0.06512774178642992,0.19911092642990655,,0.048421141565997465,0.002743018616463128,1.577680595057399
4,openai,anti_desviacion_inflacion,4,0.9996513641300138,True,1.5881153597982565,0.07939336224594896,0.1984583623864739,0.01613858477659973,,0.015158827902808581,1.5735091752116763
4,openai,pro_confianza,5,0.9996217000518682,True,1.5918877677025756,0.06877773706643876,0.19825231569424398,0.024344269860492967,0.06600645024204418,,1.5764272302324593
5,claude,NONE,-1,,True,0.6353988602246787,,,,,,
5,claude,anti_pobreza,0,0.9777547262043617,True,0.17519975709975388,0.04188349298971306,0.003315690613412255,-0.11586133428116144,0.12330993668244117,-0.017336228901086357,
