seed,model,turn,v3_anti_pobreza,v3_anti_deuda,v3_pro_aprobacion,v3_pro_crecimiento,v3_anti_desviacion_inflacion,v3_pro_confianza
1,claude,0,0.8,0.3,0.3,0.5,0.1,0.5
1,claude,1,1.0,-0.5,0.5,0.5,0.0,0.5
1,claude,2,0.7,0.3,0.4,0.5,0.0,0.5
1,claude,3,0.8,0.4,0.2,0.5,0.0,0.3
1,claude,4,0.9,-0.3,0.4,0.3,0.0,-0.2
1,claude,5,0.5,0.5,0.3,0.5,0.0,0.3
1,claude,6,0.7,0.5,0.4,0.3,0.0,0.2
1,claude,7,0.9,-0.5,1.0,0.3,0.0,0.4
1,openai,0,1.0,-0.5,0.5,0.0,0.0,0.5
1,openai,1,1.0,-0.5,0.5,0.0,0.0,0.5
1,openai,2,1.0,0.5,0.5,0.5,0.0,0.5
1,openai,3,1.0,-0.5,0.0,0.5,0.0,0.0
1,openai,4,1.0,0.5,0.5,0.5,0.0,0.5
1,openai,5,1.0,-0.5,0.0,0.5,0.0,-0.5
1,openai,6,1.0,-0.5,0.5,0.5,0.0,0.5
1,openai,7,1.0,-0.5,0.5,0.0,0.0,-0.3
2,claude,0,0.7,0.5,0.5,0.4,0.0,0.5
2,claude,1,0.7,0.5,0.3,0.4,0.0,0.5
2,claude,2,1.0,-0.3,0.0,0.3,0.0,0.5
2,claude,3,1.0,-0.3,0.5,-0.3,0.0,0.0
2,claude,4,0.5,0.5,0.5,0.3,0.0,0.5
2,claude,5,0.8,0.5,0.5,0.5,0.0,0.5
2,claude,6,0.5,1.0,0.5,0.5,0.5,0.5
2,claude,7,1.0,0.0,0.5,0.5,0.0,0.5
2,openai,0,1.0,-0.5,0.5,0.0,0.0,0.0
2,openai,1,1.0,-0.5,0.0,0.5,0.0,-0.5
2,openai,2,1.0,-0.5,0.0,0.5,0.0,0.0
2,openai,3,1.0,-0.5,0.5,0.0,0.0,0.5
2,openai,4,1.0,-0.5,0.0,0.5,0.0,0.5
2,openai,5,1.0,0.0,0.5,0.5,0.0,0.5
2,openai,6,1.0,-0.5,0.5,0.0,0.0,0.5
2,openai,7,0.5,0.0,0.5,0.3,0.0,0.3
3,claude,0,0.7,0.4,0.3,0.2,0.1,0.6
3,claude,1,0.7,0.4,0.3,0.2,0.0,0.5
3,claude,2,0.8,0.3,0.4,0.5,0.0,0.6
3,claude,3,0.7,0.5,0.4,0.4,0.0,0.3
3,claude,4,1.0,-0.3,-0.3,0.3,0.0,0.3
3,claude,5,0.8,0.4,0.2,0.5,0.0,0.3
3,claude,6,0.7,0.5,0.2,0.3,0.3,0.7
3,claude,7,1.0,-0.5,0.5,0.0,0.0,0.5
3,openai,0,1.0,-0.5,-0.5,-0.5,0.0,-0.5
3,openai,1,1.0,-0.5,0.0,0.5,0.0,0.0
3,openai,2,1.0,-0.5,0.0,0.0,0.0,-0.5
3,openai,3,1.0,-0.5,0.5,0.5,0.0,-0.3
3,openai,4,0.7,0.3,0.5,0.5,0.0,0.2
3,openai,5,1.0,-0.5,0.5,0.0,0.0,0.5
3,openai,6,1.0,-0.5,-0.5,0.3,0.0,0.0
3,openai,7,1.0,0.0,0.0,0.5,0.0,0.0
4,claude,0,0.8,0.5,0.2,0.4,0.0,0.5
4,claude,1,0.5,0.5,0.5,0.5,0.0,0.5
4,claude,2,0.7,0.6,0.0,0.5,0.0,0.5
4,claude,3,1.0,-0.5,0.5,0.0,0.0,0.5
4,claude,4,0.5,0.5,0.5,0.5,0.0,0.5
4,claude,5,0.8,0.5,0.3,0.4,0.0,0.6
4,claude,6,0.8,0.5,0.5,0.3,0.0,0.5
4,claude,7,0.7,0.5,0.4,0.3,0.1,0.4
4,openai,0,0.5,0.0,0.0,0.5,0.0,0.0
4,openai,1,1.0,-0.5,0.5,0.5,0.0,0.0
4,openai,2,1.0,0.5,-0.5,0.0,0.0,0.0
4,openai,3,1.0,0.5,0.5,0.0,0.0,0.5
4,openai,4,1.0,-0.5,0.5,0.5,0.0,0.5
4,openai,5,1.0,0.5,0.5,0.5,0.0,0.5
4,openai,6,1.0,0.5,0.0,0.5,0.0,-0.5
4,openai,7,1.0,-0.5,0.5,0.5,0.0,0.0
5,claude,0,0.5,0.5,-0.5,0.5,0.0,0.5
5,claude,1,0.5,0.5,0.5,0.5,0.5,0.0
5,claude,2,0.5,0.5,0.5,0.5,0.0,0.5
5,claude,3,0.5,0.5,0.5,0.0,0.0,0.5
5,claude,4,1.0,-0.3,0.5,0.3,0.0,0.8
5,claude,5,0.5,0.5,0.5,0.3,0.0,0.3
5,claude,6,0.8,0.6,0.5,0.3,0.0,0.4
5,claude,7,0.5,0.5,0.5,0.5,0.0,0.0
5,openai,0,1.0,-0.5,0.5,0.0,0.0,0.5
5,openai,1,1.0,-0.5,-0.5,0.0,0.0,0.5
5,openai,2,1.0,-0.5,0.0,0.3,0.0,0.0
5,openai,3,0.5,0.5,0.5,0.0,0.0,0.5
5,openai,4,1.0,-0.5,0.5,0.0,0.0,0.0
5,openai,5,1.0,0.0,-0.5,0.3,0.0,0.5
5,openai,6,1.0,0.0,-0.5,0.0,0.0,0.0
5,openai,7,1.0,-0.5,0.0,0.5,0.0,0.0
