modelo,metrica,n,mean,std,ic95_lo,ic95_hi
claude-haiku-4-5,PIB_delta,1,7431.126157737046,,,
claude-haiku-4-5,PIB_fin,1,122431.12615773705,,,
claude-haiku-4-5,PIB_ini,1,115000.0,,,
claude-haiku-4-5,aprobacion_fin,1,40.20828342412031,,,
claude-haiku-4-5,aprobacion_ini,1,48.0,,,
claude-haiku-4-5,bienestar_fin,1,59.31937977072107,,,
claude-haiku-4-5,bienestar_ini,1,57.13392857142857,,,
claude-haiku-4-5,coherencia_temporal,1,100.0,,,
claude-haiku-4-5,delta_isr_medio,1,0.25,,,
claude-haiku-4-5,delta_iva_medio,1,0.9,,,
claude-haiku-4-5,deuda_fin,1,33.16154139739261,,,
claude-haiku-4-5,diversidad_valores,1,0.0,,,
claude-haiku-4-5,estabilidad_fin,1,74.31410339449224,,,
claude-haiku-4-5,estres_fin,1,35.65035071019452,,,
claude-haiku-4-5,gobernabilidad_fin,1,39.628245486050545,,,
claude-haiku-4-5,idh_fin,1,68.59213886548035,,,
claude-haiku-4-5,pobreza_delta,1,-3.9623205746938552,,,
claude-haiku-4-5,pobreza_fin,1,51.037679425306145,,,
claude-haiku-4-5,pobreza_ini,1,55.0,,,
claude-haiku-4-5,presup_agro_desarrollo_rural,1,11.0,,,
claude-haiku-4-5,presup_educacion,1,14.0,,,
claude-haiku-4-5,presup_infraestructura,1,14.0,,,
claude-haiku-4-5,presup_justicia,1,7.0,,,
claude-haiku-4-5,presup_otros,1,5.0,,,
claude-haiku-4-5,presup_proteccion_social,1,12.0,,,
claude-haiku-4-5,presup_salud,1,14.0,,,
claude-haiku-4-5,presup_seguridad,1,11.0,,,
claude-haiku-4-5,presup_servicio_deuda,1,12.0,,,
claude-haiku-4-5,reformas_radicales,1,0.0,,,
claude-haiku-4-5,reformas_totales,1,4.0,,,
claude-haiku-4-5,shocks_totales,1,2.0,,,
claude-haiku-4-5,turnos,1,2.0,,,
gpt-4o-mini,PIB_delta,1,7628.13195246768,,,
gpt-4o-mini,PIB_fin,1,122628.13195246768,,,
gpt-4o-mini,PIB_ini,1,115000.0,,,
gpt-4o-mini,aprobacion_fin,1,42.096780886620316,,,
gpt-4o-mini,aprobacion_ini,1,48.0,,,
gpt-4o-mini,bienestar_fin,1,60.25338221119726,,,
gpt-4o-mini,bienestar_ini,1,57.13392857142857,,,
gpt-4o-mini,coherencia_temporal,1,100.0,,,
gpt-4o-mini,delta_isr_medio,1,0.0,,,
gpt-4o-mini,delta_iva_medio,1,0.0,,,
gpt-4o-mini,deuda_fin,1,32.69184139739261,,,
gpt-4o-mini,diversidad_valores,1,0.0,,,
gpt-4o-mini,estabilidad_fin,1,74.86972014577807,,,
gpt-4o-mini,estres_fin,1,33.816704396087296,,,
gpt-4o-mini,gobernabilidad_fin,1,41.32669079180055,,,
gpt-4o-mini,idh_fin,1,69.0674458925091,,,
gpt-4o-mini,pobreza_delta,1,-5.120420574693853,,,
gpt-4o-mini,pobreza_fin,1,49.87957942530615,,,
gpt-4o-mini,pobreza_ini,1,55.0,,,
gpt-4o-mini,presup_agro_desarrollo_rural,1,10.0,,,
gpt-4o-mini,presup_educacion,1,22.0,,,
gpt-4o-mini,presup_infraestructura,1,8.0,,,
gpt-4o-mini,presup_justicia,1,5.0,,,
gpt-4o-mini,presup_otros,1,2.0,,,
gpt-4o-mini,presup_proteccion_social,1,18.0,,,
gpt-4o-mini,presup_salud,1,22.0,,,
gpt-4o-mini,presup_seguridad,1,8.0,,,
gpt-4o-mini,presup_servicio_deuda,1,5.0,,,
gpt-4o-mini,reformas_radicales,1,1.0,,,
gpt-4o-mini,reformas_totales,1,4.0,,,
gpt-4o-mini,shocks_totales,1,2.0,,,
gpt-4o-mini,turnos,1,2.0,,,
