modelo,metrica,n,mean,std,ic95_lo,ic95_hi
claude-haiku-4-5,PIB_delta,1,7650.543698885915,,,
claude-haiku-4-5,PIB_fin,1,122650.54369888591,,,
claude-haiku-4-5,PIB_ini,1,115000.0,,,
claude-haiku-4-5,aprobacion_fin,1,40.27488111162032,,,
claude-haiku-4-5,aprobacion_ini,1,48.0,,,
claude-haiku-4-5,bienestar_fin,1,59.352564145721075,,,
claude-haiku-4-5,bienestar_ini,1,57.13392857142857,,,
claude-haiku-4-5,coherencia_temporal,1,100.0,,,
claude-haiku-4-5,delta_isr_medio,1,0.75,,,
claude-haiku-4-5,delta_iva_medio,1,0.25,,,
claude-haiku-4-5,deuda_fin,1,31.85254139739261,,,
claude-haiku-4-5,diversidad_valores,1,0.0,,,
claude-haiku-4-5,estabilidad_fin,1,75.90935490939988,,,
claude-haiku-4-5,estres_fin,1,34.159458460194514,,,
claude-haiku-4-5,gobernabilidad_fin,1,41.60945925730056,,,
claude-haiku-4-5,idh_fin,1,68.6139585191928,,,
claude-haiku-4-5,pobreza_delta,1,-4.027070574693859,,,
claude-haiku-4-5,pobreza_fin,1,50.97292942530614,,,
claude-haiku-4-5,pobreza_ini,1,55.0,,,
claude-haiku-4-5,presup_agro_desarrollo_rural,1,11.0,,,
claude-haiku-4-5,presup_educacion,1,14.0,,,
claude-haiku-4-5,presup_infraestructura,1,14.0,,,
claude-haiku-4-5,presup_justicia,1,7.0,,,
claude-haiku-4-5,presup_otros,1,5.0,,,
claude-haiku-4-5,presup_proteccion_social,1,12.0,,,
claude-haiku-4-5,presup_salud,1,14.0,,,
claude-haiku-4-5,presup_seguridad,1,11.0,,,
claude-haiku-4-5,presup_servicio_deuda,1,12.0,,,
claude-haiku-4-5,reformas_radicales,1,0.0,,,
claude-haiku-4-5,reformas_totales,1,4.0,,,
claude-haiku-4-5,shocks_totales,1,2.0,,,
claude-haiku-4-5,turnos,1,2.0,,,
gpt-4o-mini,PIB_delta,1,7744.537495182551,,,
gpt-4o-mini,PIB_fin,1,122744.53749518255,,,
gpt-4o-mini,PIB_ini,1,115000.0,,,
gpt-4o-mini,aprobacion_fin,1,41.801023924120315,,,
gpt-4o-mini,aprobacion_ini,1,48.0,,,
gpt-4o-mini,bienestar_fin,1,59.366734770721074,,,
gpt-4o-mini,bienestar_ini,1,57.13392857142857,,,
gpt-4o-mini,coherencia_temporal,1,100.0,,,
gpt-4o-mini,delta_isr_medio,1,0.0,,,
gpt-4o-mini,delta_iva_medio,1,0.0,,,
gpt-4o-mini,deuda_fin,1,32.6771413973926,,,
gpt-4o-mini,diversidad_valores,1,0.0,,,
gpt-4o-mini,estabilidad_fin,1,74.94922504616414,,,
gpt-4o-mini,estres_fin,1,34.480668710194514,,,
gpt-4o-mini,gobernabilidad_fin,1,40.518055276050546,,,
gpt-4o-mini,idh_fin,1,68.62329365376893,,,
gpt-4o-mini,pobreza_delta,1,-4.05472057469386,,,
gpt-4o-mini,pobreza_fin,1,50.94527942530614,,,
gpt-4o-mini,pobreza_ini,1,55.0,,,
gpt-4o-mini,presup_agro_desarrollo_rural,1,11.0,,,
gpt-4o-mini,presup_educacion,1,14.0,,,
gpt-4o-mini,presup_infraestructura,1,14.0,,,
gpt-4o-mini,presup_justicia,1,7.0,,,
gpt-4o-mini,presup_otros,1,5.0,,,
gpt-4o-mini,presup_proteccion_social,1,12.0,,,
gpt-4o-mini,presup_salud,1,14.0,,,
gpt-4o-mini,presup_seguridad,1,11.0,,,
gpt-4o-mini,presup_servicio_deuda,1,12.0,,,
gpt-4o-mini,reformas_radicales,1,0.0,,,
gpt-4o-mini,reformas_totales,1,2.0,,,
gpt-4o-mini,shocks_totales,1,2.0,,,
gpt-4o-mini,turnos,1,2.0,,,
