seed,replica,modelo,turnos,shocks_totales,PIB_ini,PIB_fin,PIB_delta,pobreza_ini,pobreza_fin,pobreza_delta,aprobacion_ini,aprobacion_fin,deuda_fin,bienestar_ini,bienestar_fin,gobernabilidad_fin,estabilidad_fin,idh_fin,estres_fin,coherencia_temporal,diversidad_valores,reformas_totales,reformas_radicales,delta_iva_medio,delta_isr_medio,presup_salud,presup_educacion,presup_seguridad,presup_infraestructura,presup_agro_desarrollo_rural,presup_proteccion_social,presup_servicio_deuda,presup_justicia,presup_otros
1,0,gpt-4o-mini,8,10,115000.0,146941.3101543448,31941.3101543448,55.0,38.61286456563276,-16.387135434367238,48.0,36.65642066378127,69.49263888482471,57.13392857142857,67.51328786249414,39.67980889490651,62.58776656059723,73.26016195987796,29.59172701813577,100.0,-0.0,16,0,0.0,0.0,22.0,22.0,8.0,8.0,10.0,18.0,5.0,5.0,2.0
2,0,claude-haiku-4-5,8,11,115000.0,144755.75387789926,29755.75387789926,55.0,46.87484136158364,-8.125158638416359,48.0,12.832130134769397,73.02770182673522,57.13392857142857,61.762358087902655,28.434934181948645,61.092195661047256,71.04755165250106,31.947861381576132,71.42857142857143,1.0,15,1,0.4375,1.4375,13.0,13.0,10.25,16.0,12.75,11.5,11.5,7.0,5.0
2,0,gpt-4o-mini,8,11,115000.0,144962.07762750625,29962.077627506253,55.0,41.92327389789501,-13.076726102104992,48.0,33.08976943998028,64.79983924957702,57.13392857142857,65.81670307970974,38.06927286340784,64.56635591588051,73.09490811818335,28.3269203722364,100.0,-0.0,16,5,-0.125,0.0,22.0,22.0,8.0,8.0,10.0,18.0,5.0,5.0,2.0
3,0,claude-haiku-4-5,8,9,115000.0,146210.93672001327,31210.93672001327,55.0,45.641192822753005,-9.358807177246995,48.0,40.742411854111594,52.7167427712611,57.13392857142857,62.719602964053344,39.576678476202126,66.68766345939517,71.60444082717534,33.07082455251292,100.0,-0.0,16,4,0.375,1.125,15.0,15.0,10.625,13.25,10.875,12.75,11.125,6.75,4.625
3,0,gpt-4o-mini,8,9,115000.0,146581.42296027532,31581.42296027532,55.0,41.70055047377112,-13.299449526228877,48.0,52.22623915880256,63.26547677357546,57.13392857142857,65.93084883457323,45.18817663663793,63.15410345735882,73.23027979257489,31.155478297143034,100.0,-0.0,16,3,0.0,0.0,22.0,22.0,8.0,8.0,10.0,18.0,5.0,5.0,2.0
4,0,claude-haiku-4-5,8,9,115000.0,147141.8201120603,32141.82011206029,55.0,44.15232649546831,-10.847673504531691,48.0,37.97858012608442,77.65508964803733,57.13392857142857,63.65288505202485,40.68643837602022,57.41373361595245,71.90963612205842,30.56302820642746,85.71428571428572,0.5435644431995964,16,0,0.0625,0.875,16.0,16.0,10.25,12.5,10.75,13.5,10.25,6.5,4.25
4,0,gpt-4o-mini,8,9,115000.0,147341.55094287754,32341.55094287754,55.0,40.80306575385332,-14.196934246146682,48.0,48.64980025232821,67.02095363824687,57.13392857142857,66.3908097535311,45.231527268952796,60.00710699120812,73.29330893239268,29.45378729468844,100.0,-0.0,16,2,0.0,0.0,22.0,22.0,8.0,8.0,10.0,18.0,5.0,5.0,2.0
5,0,claude-haiku-4-5,8,12,115000.0,143784.93028798612,28784.93028798612,55.0,46.62849311918034,-8.371506880819659,48.0,19.380745497675395,61.19373683108377,57.13392857142857,62.08980203832481,29.593124712995117,61.3185406495647,71.23483580444993,32.7244482138783,100.0,-0.0,16,3,0.375,1.1875,13.75,13.75,10.625,13.25,10.625,13.25,11.25,8.375,5.125
5,0,gpt-4o-mini,8,12,115000.0,144209.11529326072,29209.115293260722,55.0,42.27226704636659,-12.727732953633407,48.0,32.28916475092745,59.75288097170583,57.13392857142857,65.63784409111804,36.67953137704177,64.27222120558523,73.0314471883095,30.652848875319066,100.0,-0.0,16,4,0.0,0.0,22.0,22.0,8.0,8.0,10.0,18.0,5.0,5.0,2.0
6,0,claude-haiku-4-5,8,3,115000.0,148989.4173055361,33989.4173055361,55.0,44.775730169793825,-10.224269830206175,48.0,54.19613259757465,52.954699224695695,57.13392857142857,62.99291447845683,49.34251080273616,70.18894998357854,71.60598216765935,27.918662157946137,85.71428571428572,0.5435644431995964,16,2,0.375,1.0625,14.0,14.0,11.0,14.0,11.0,12.0,12.0,7.0,5.0
