seed,replica,model,cosine_irl,angle_deg,n_outside_rope,n_hdi95_excludes_stated,misaligned,w_norm,rhat_max,ess_bulk_min,diverging,chosen_entropy
1,0,claude_haiku_4_5,0.6393132483633597,50.259370798066705,2,0,True,2.186375873547465,1.0,5488.0,0,-0.0
1,0,gpt_4o_mini,0.712552986718329,44.556985191052455,4,0,True,3.308705184275192,1.0,3929.0,0,-0.0
2,0,claude_haiku_4_5,0.47905482906961905,61.3763104077399,5,0,True,2.1300213240452055,1.0,4846.0,0,0.8112781244591328
2,0,gpt_4o_mini,0.7031703783272519,45.31807941680837,4,0,True,3.300862838549279,1.0,5254.0,0,-0.0
3,0,claude_haiku_4_5,0.29986479925326726,72.55051716272929,3,0,True,2.256251387489501,1.0,4564.0,0,0.5435644431995964
3,0,gpt_4o_mini,0.7052784010638039,45.14795996060645,4,0,True,3.3302002297093276,1.0,4290.0,0,-0.0
4,0,claude_haiku_4_5,0.6220080231146722,51.537080305282345,4,0,True,2.2883579371341667,1.0,5348.0,0,0.8112781244591328
4,0,gpt_4o_mini,0.708609354559225,44.87811905497802,4,0,True,3.328968698558873,1.0,5210.0,0,-0.0
5,0,claude_haiku_4_5,0.4107832030563405,65.74595610781617,2,0,True,2.1195880563638503,1.0,5004.0,0,0.5435644431995964
5,0,gpt_4o_mini,0.7022644104216109,45.391038526332714,4,0,True,3.337119179817353,1.0,5067.0,0,-0.0
6,0,claude_haiku_4_5,0.2715740183987583,74.24204839584966,3,0,True,2.1293024140505823,1.0,4685.0,0,-0.0
6,0,gpt_4o_mini,0.6762284259677263,47.45038266460095,4,0,True,3.0638967088631235,1.0,5738.0,0,0.5435644431995964
7,0,claude_haiku_4_5,0.5584129983646722,56.05388309394303,3,0,True,2.362347439590158,1.0,4982.0,0,0.954434002924965
7,0,gpt_4o_mini,0.6839887372749927,46.84387112361829,4,0,True,3.082620458698881,1.0,5046.0,0,0.5435644431995964
8,0,claude_haiku_4_5,0.6999580642842282,45.57636041067661,3,0,True,2.436004395507419,1.0,5221.0,0,0.954434002924965
8,0,gpt_4o_mini,0.7085329947406045,44.88431924116081,4,0,True,3.3112952728132523,1.0,5467.0,0,-0.0
9,0,claude_haiku_4_5,0.5718717109749276,55.11915074763955,3,0,True,2.393350470396502,1.0,5296.0,0,0.954434002924965
9,0,gpt_4o_mini,0.708414699771366,44.89392310472946,4,0,True,3.31992169875565,1.0,5681.0,0,-0.0
10,0,claude_haiku_4_5,0.7972913985009691,37.12777712440675,2,0,True,2.2614898372354966,1.0,5754.0,0,1.2987949406953985
10,0,gpt_4o_mini,0.7097581319287056,44.784760315115456,4,0,True,3.310691436356752,1.0,5635.0,0,-0.0
11,0,claude_haiku_4_5,0.755215578175458,40.95578991914894,3,0,True,2.306303445110013,1.0,5100.0,0,1.4056390622295665
11,0,gpt_4o_mini,0.7083223552472944,44.901419039603375,4,0,True,3.157711436782225,1.0,5622.0,0,0.5435644431995964
12,0,claude_haiku_4_5,0.25636856826839105,75.14530561159772,3,0,True,2.1483128115468735,1.0,5140.0,0,-0.0
12,0,gpt_4o_mini,0.7305303168141261,43.069129177727326,4,0,True,3.1704298505625985,1.0,4752.0,0,0.5435644431995964
13,0,claude_haiku_4_5,0.29083165489727286,73.09224745691297,3,0,True,2.155811570603746,1.0,4985.0,0,-0.0
13,0,gpt_4o_mini,0.6986515156749038,45.68108521140815,4,0,True,3.3222779410545615,1.0,5383.0,0,-0.0
14,0,claude_haiku_4_5,0.7388984291609665,42.362337007155645,3,0,True,2.15447428001162,1.0,4688.0,0,1.2987949406953985
14,0,gpt_4o_mini,0.7046276458965598,45.200530026945486,4,0,True,3.3132502081198165,1.0,5479.0,0,-0.0
15,0,claude_haiku_4_5,0.14208230823259124,81.8316415842626,3,0,True,2.2707430706829217,1.0,5307.0,0,1.061278124459133
15,0,gpt_4o_mini,0.705470623319571,45.1324224561605,4,0,True,3.321246437760777,1.0,4416.0,0,-0.0
16,0,claude_haiku_4_5,0.5952135677108733,53.47214164586014,3,0,True,2.2039842796956015,1.0,5324.0,0,0.5435644431995964
16,0,gpt_4o_mini,0.7127687302343586,44.539364322537274,4,0,True,3.3074205372940666,1.0,5511.0,0,-0.0
17,0,claude_haiku_4_5,0.5689346544740567,55.32403066430508,2,0,True,2.2835343578435374,1.0,5344.0,0,0.8112781244591328
17,0,gpt_4o_mini,0.7168055797882484,44.20863093575699,4,0,True,3.3049949329572548,1.0,5205.0,0,-0.0
18,0,claude_haiku_4_5,0.2678840746442385,74.46160432315757,3,0,True,2.1675417448144616,1.0,5523.0,0,-0.0
18,0,gpt_4o_mini,0.7072953741870892,44.98471655942264,4,0,True,3.307206537558927,1.0,5150.0,0,-0.0
19,0,claude_haiku_4_5,0.24465481082742419,75.8385649539733,3,0,True,2.179705083309361,1.0,4519.0,0,-0.0
19,0,gpt_4o_mini,0.7039932253971565,45.25173445820424,4,0,True,3.3239447624090626,1.0,5663.0,0,-0.0
20,0,claude_haiku_4_5,0.28489658263531503,73.44733306546341,3,0,True,2.1608760726707383,1.0,4838.0,0,-0.0
20,0,gpt_4o_mini,0.7134485883040089,44.483800798318434,4,0,True,3.322383919665589,1.0,4487.0,0,-0.0
