seed,replica,model,delta_hogares,delta_ninios,muertes_anuales,welfare_usd_mm
1,0,claude_haiku_4_5,-310433.1299121411,-10919.99999999938,-2047.4999999999807,-4903.820046689043
1,0,gpt_4o_mini,-596491.7298109675,-55910.39999999881,-10483.199999999932,-9422.602874761162
2,0,claude_haiku_4_5,-295755.77443835547,-13103.999999999256,-2456.9999999999764,-4671.966217089407
2,0,gpt_4o_mini,-475992.8301166217,-55910.39999999881,-10483.199999999932,-7519.11750871037
3,0,claude_haiku_4_5,-340660.58125179063,-22276.79999999898,-4176.899999999964,-5381.314126917022
3,0,gpt_4o_mini,-484099.96275473107,-55910.39999999881,-10483.199999999932,-7647.183477581603
4,0,claude_haiku_4_5,-394855.31556495355,-27081.599999998958,-5077.799999999959,-6237.412265105722
4,0,gpt_4o_mini,-516768.40655973926,-55910.39999999881,-10483.199999999932,-8163.237191534343
5,0,claude_haiku_4_5,-304722.8504618356,-18782.399999999056,-3521.6999999999784,-4813.6164564713035
5,0,gpt_4o_mini,-463289.47951225593,-55910.39999999881,-10483.199999999932,-7318.446448339208
6,0,claude_haiku_4_5,-372163.4218195048,-17471.999999999007,-3275.999999999969,-5878.955152368551
6,0,gpt_4o_mini,-517438.7104516087,-51105.599999998834,-9582.299999999937,-8173.82578323283
7,0,claude_haiku_4_5,-416203.0593949894,-31886.399999998932,-5978.699999999954,-6574.636240442827
7,0,gpt_4o_mini,-505107.05067703204,-51105.599999998834,-9582.299999999937,-7979.026212617951
8,0,claude_haiku_4_5,-394300.068756121,-31886.399999998932,-5978.699999999954,-6228.641196010153
8,0,gpt_4o_mini,-498263.29474029335,-55910.39999999881,-10483.199999999932,-7870.917430650239
9,0,claude_haiku_4_5,-456665.3683082334,-31886.399999998932,-5978.699999999954,-7213.807329044896
9,0,gpt_4o_mini,-549618.2351179288,-55910.39999999881,-10483.199999999932,-8682.156186615633
10,0,claude_haiku_4_5,-330618.1526614974,-24897.59999999908,-4668.299999999964,-5222.67686209783
10,0,gpt_4o_mini,-460704.5217369298,-55910.39999999881,-10483.199999999932,-7277.612637327874
11,0,claude_haiku_4_5,-409917.9841504568,-29702.399999999056,-5569.199999999958,-6475.3527716074905
11,0,gpt_4o_mini,-503256.9496972842,-51105.599999998834,-9582.299999999937,-7949.800716371935
12,0,claude_haiku_4_5,-321481.3894461427,-17471.999999999007,-3275.999999999969,-5078.346124492638
12,0,gpt_4o_mini,-467160.98218351806,-51105.599999998834,-9582.299999999937,-7379.603427349531
13,0,claude_haiku_4_5,-304886.2283623878,-17471.999999999007,-3275.999999999969,-4816.1972886915655
13,0,gpt_4o_mini,-467583.68244700617,-55910.39999999881,-10483.199999999932,-7386.28069799529
14,0,claude_haiku_4_5,-379999.1120238977,-17908.799999999228,-3357.899999999972,-6002.73322565223
14,0,gpt_4o_mini,-538021.7047360488,-55910.39999999881,-10483.199999999932,-8498.96923690187
15,0,claude_haiku_4_5,-351449.2575520192,-20092.799999999104,-3767.399999999968,-5551.739645395907
15,0,gpt_4o_mini,-501471.2978953143,-55910.39999999881,-10483.199999999932,-7921.5933046649925
16,0,claude_haiku_4_5,-396517.36565246596,-22276.79999999898,-4176.899999999964,-6263.667177202416
16,0,gpt_4o_mini,-536680.0193925116,-55910.39999999881,-10483.199999999932,-8477.775031612477
17,0,claude_haiku_4_5,-472085.428828261,-27081.599999998958,-5077.799999999959,-7457.393449896979
17,0,gpt_4o_mini,-590735.8733167532,-55910.39999999881,-10483.199999999932,-9331.679317503656
18,0,claude_haiku_4_5,-313307.4949122445,-17471.999999999007,-3275.999999999969,-4949.225537762104
18,0,gpt_4o_mini,-474999.928137703,-55910.39999999881,-10483.199999999932,-7503.432930746681
19,0,claude_haiku_4_5,-405758.8906714387,-17471.999999999007,-3275.999999999969,-6409.652805936189
19,0,gpt_4o_mini,-567446.4357426653,-55910.39999999881,-10483.199999999932,-8963.782982198696
20,0,claude_haiku_4_5,-380523.60949518025,-17471.999999999007,-3275.999999999969,-6011.018556585952
20,0,gpt_4o_mini,-544949.4541461886,-55910.39999999881,-10483.199999999932,-8608.404838847759
