seed,replica,model,dim,w_mean,hdi_lo,hdi_hi
1,0,claude_haiku_4_5,anti_pobreza,0.254961603336354,-1.4682701181104623,1.7650191555855377
1,0,claude_haiku_4_5,anti_deuda,0.05685057637031305,-1.9620405665082639,1.9784208039419178
1,0,claude_haiku_4_5,pro_aprobacion,0.06998720136844862,-1.3412797883972911,1.4639165408786199
1,0,claude_haiku_4_5,pro_crecimiento,-0.08020103843646549,-1.9608237601774436,1.8838859353646984
1,0,claude_haiku_4_5,anti_desviacion_inflacion,0.16311934184063331,-1.7069352914589395,2.0568130807067218
1,0,claude_haiku_4_5,pro_confianza,-0.01972957277917704,-1.9037469835903227,1.96619921674842
1,0,gpt_4o_mini,anti_pobreza,2.5695415731945888,1.1965738152223278,4.132147011537946
1,0,gpt_4o_mini,anti_deuda,-0.016702104101823895,-2.0459313888871775,1.859362960669513
1,0,gpt_4o_mini,pro_aprobacion,-0.043927741317085225,-1.3029144599716715,1.1820388192206686
1,0,gpt_4o_mini,pro_crecimiento,0.06708242193439114,-1.8021340861795854,2.0203928607404715
1,0,gpt_4o_mini,anti_desviacion_inflacion,-0.025577865658445578,-1.8960016670660802,1.936002046009938
1,0,gpt_4o_mini,pro_confianza,0.044968651992922784,-1.9482624257584498,1.8977706773549055
2,0,claude_haiku_4_5,anti_pobreza,0.0621846283322352,-1.3593073460300764,1.6080955245570139
2,0,claude_haiku_4_5,anti_deuda,0.16091478939522705,-1.907602696102951,2.1131399807244686
2,0,claude_haiku_4_5,pro_aprobacion,-0.05208463517087719,-1.3151080855027297,1.1458336204861908
2,0,claude_haiku_4_5,pro_crecimiento,0.04243500275216493,-1.75377555923649,2.0721348860984525
2,0,claude_haiku_4_5,anti_desviacion_inflacion,-0.007849105277698989,-1.9103257868567591,1.8225334744370143
2,0,claude_haiku_4_5,pro_confianza,0.012336154410373607,-2.0265770272213746,1.9869443209488842
2,0,gpt_4o_mini,anti_pobreza,2.572033959315034,1.1572906482531091,4.048842287816038
2,0,gpt_4o_mini,anti_deuda,-0.020866420905472367,-1.9295518347877012,2.030994960983925
2,0,gpt_4o_mini,pro_aprobacion,-0.05053486898847028,-1.2704915997863517,1.1352726253659466
2,0,gpt_4o_mini,pro_crecimiento,0.05305959563604385,-1.944973377780654,1.8277019693610108
2,0,gpt_4o_mini,anti_desviacion_inflacion,-0.024452111470142104,-2.001029744826205,1.7250906998520994
2,0,gpt_4o_mini,pro_confianza,0.00810076032254197,-2.0211689695715807,1.879308785104513
3,0,claude_haiku_4_5,anti_pobreza,0.5140546560480644,-1.0208002689211118,1.9117769768867225
3,0,claude_haiku_4_5,anti_deuda,0.05644011511782624,-1.9506644039767687,1.9572597544758659
3,0,claude_haiku_4_5,pro_aprobacion,-0.5476359239774662,-1.784039131349174,0.7477274006640843
3,0,claude_haiku_4_5,pro_crecimiento,-0.16317866114936683,-1.9795556074568434,1.7841352190026036
