modelo,metrica,n,mean,std,ic95_lo,ic95_hi
claude-haiku-4-5,PIB_delta,10,31194.774388601993,1686.235313779836,30248.45155626886,32174.79270265435
claude-haiku-4-5,PIB_fin,10,146194.774388602,1686.235313779836,145205.02019501873,147196.81221268192
claude-haiku-4-5,PIB_ini,10,115000.0,0.0,115000.0,115000.0
claude-haiku-4-5,aprobacion_fin,10,31.974599626620297,11.212138556862367,25.850975501086985,39.11797817626419
claude-haiku-4-5,aprobacion_ini,10,48.0,0.0,48.0,48.0
claude-haiku-4-5,bienestar_fin,10,63.249651952153236,0.5833585832723085,62.921008855625445,63.59398732767269
claude-haiku-4-5,bienestar_ini,10,57.13392857142857,0.0,57.13392857142857,57.13392857142857
claude-haiku-4-5,coherencia_temporal,10,84.28571428571429,17.103128567683783,74.28571428571429,94.28571428571429
claude-haiku-4-5,delta_isr_medio,10,0.825,0.2648374763678451,0.6625,0.975
claude-haiku-4-5,delta_iva_medio,10,0.301875,0.250278490719172,0.147484375,0.4425
claude-haiku-4-5,deuda_fin,10,64.8726775583821,10.589309433468998,58.844816479908445,71.32255121873091
claude-haiku-4-5,diversidad_valores,10,0.3579896835027952,0.4565698503168125,0.10871288863991928,0.6391174959487085
claude-haiku-4-5,estabilidad_fin,10,62.488619904227406,4.005928246172881,60.28156767100961,64.89601115790379
claude-haiku-4-5,estres_fin,10,31.320236804897576,1.9673261432819467,30.164859046426482,32.46035666049457
claude-haiku-4-5,gobernabilidad_fin,10,36.94356615273028,5.922041097477157,33.781862915620074,40.65475066668513
claude-haiku-4-5,idh_fin,10,71.67072247909317,0.18811623399602873,71.55995322748859,71.77937153614347
claude-haiku-4-5,pobreza_delta,10,-10.293397537302525,1.1293956930120221,-10.980071286924456,-9.634407607296513
claude-haiku-4-5,pobreza_fin,10,44.70660246269747,1.1293956930120221,44.02826345168883,45.37692480667937
claude-haiku-4-5,pobreza_ini,10,55.0,0.0,55.0,55.0
claude-haiku-4-5,presup_agro_desarrollo_rural,10,10.8375,0.0843685697138191,10.7875,10.8875
claude-haiku-4-5,presup_educacion,10,15.3,0.674948557710553,14.9,15.7
claude-haiku-4-5,presup_infraestructura,10,13.025,0.5062114182829146,12.725,13.325
claude-haiku-4-5,presup_justicia,10,6.675,0.16873713942763824,6.575,6.775
claude-haiku-4-5,presup_otros,10,4.5125,0.2531057091414573,4.3625,4.6625
claude-haiku-4-5,presup_proteccion_social,10,12.975,0.5062114182829146,12.675,13.275
claude-haiku-4-5,presup_salud,10,15.3,0.674948557710553,14.9,15.7
claude-haiku-4-5,presup_seguridad,10,10.5125,0.2531057091414573,10.3625,10.6625
claude-haiku-4-5,presup_servicio_deuda,10,10.8625,0.5905799879967337,10.5125,11.2125
claude-haiku-4-5,reformas_radicales,10,0.9,0.7378647873726218,0.5,1.3
claude-haiku-4-5,reformas_totales,10,15.9,0.31622776601683794,15.7,16.0
claude-haiku-4-5,shocks_totales,10,9.9,2.8460498941515415,8.1,11.4
claude-haiku-4-5,turnos,10,8.0,0.0,8.0,8.0
gpt-4o-mini,PIB_delta,10,31516.165513580083,1707.1346072833815,30557.295554875374,32563.785718572184
gpt-4o-mini,PIB_fin,10,146516.16551358005,1707.1346072833815,145542.39628704588,147558.62285533382
gpt-4o-mini,PIB_ini,10,115000.0,0.0,115000.0,115000.0
gpt-4o-mini,aprobacion_fin,10,38.26050288810936,12.407961273331514,31.467317260133466,46.03479570000987
gpt-4o-mini,aprobacion_ini,10,48.0,0.0,48.0,48.0
gpt-4o-mini,bienestar_fin,10,63.5807566278432,0.7467985468604005,63.13432351808674,64.00975660312585
gpt-4o-mini,bienestar_ini,10,57.13392857142857,0.0,57.13392857142857,57.13392857142857
gpt-4o-mini,coherencia_temporal,10,98.57142857142858,4.517539514526254,95.71428571428571,100.0
gpt-4o-mini,delta_isr_medio,10,0.04375,0.14145204330639963,-0.03125,0.1375
gpt-4o-mini,delta_iva_medio,10,0.2,0.25138505214997264,0.0625,0.35
gpt-4o-mini,deuda_fin,10,59.11359453093321,5.700203802152211,55.87807505383899,62.474619264347076
gpt-4o-mini,diversidad_valores,10,0.05435644431995964,0.17189016955919478,0.0,0.1630693329598789
gpt-4o-mini,estabilidad_fin,10,66.48961515211195,2.4655648210337544,65.02079120307386,67.91918774771557
gpt-4o-mini,estres_fin,10,32.259551826424726,2.292651686322238,30.88844563341691,33.558677810254146
gpt-4o-mini,gobernabilidad_fin,10,38.848773242184514,6.842723409170984,35.132786477200796,43.16351449294992
gpt-4o-mini,idh_fin,10,71.8438458046689,0.26963251604564187,71.68241820105716,71.99712159703037
gpt-4o-mini,pobreza_delta,10,-10.726065197185372,1.3110187163991354,-11.492760185994955,-9.963336669672263
gpt-4o-mini,pobreza_fin,10,44.27393480281463,1.3110187163991351,43.52730973592833,45.03644236091399
gpt-4o-mini,pobreza_ini,10,55.0,0.0,55.0,55.0
gpt-4o-mini,presup_agro_desarrollo_rural,10,10.426375,0.3800650757509239,10.1875,10.638875
gpt-4o-mini,presup_educacion,10,15.813875000000001,0.9431964804294196,15.241624999999999,16.35
gpt-4o-mini,presup_infraestructura,10,11.963875,0.7880585431052132,11.463875,12.37775
gpt-4o-mini,presup_justicia,10,6.601375,0.3083189467364382,6.4375,6.79025
gpt-4o-mini,presup_otros,10,4.5265,0.5452524899326713,4.225,4.853
gpt-4o-mini,presup_proteccion_social,10,13.713875000000002,0.7291034377347748,13.316624999999998,14.163875
gpt-4o-mini,presup_salud,10,15.813875000000001,0.9431964804294196,15.25275,16.364153124999998
gpt-4o-mini,presup_seguridad,10,10.376375,0.45729216970359576,10.126375,10.652750000000001
gpt-4o-mini,presup_servicio_deuda,10,10.763875,1.1405780165361576,10.113875,11.4625
gpt-4o-mini,reformas_radicales,10,2.0,1.1547005383792515,1.3,2.7
gpt-4o-mini,reformas_totales,10,15.7,0.6749485577105528,15.2,16.0
gpt-4o-mini,shocks_totales,10,9.9,2.8460498941515415,8.1,11.3
gpt-4o-mini,turnos,10,8.0,0.0,8.0,8.0
