seed,replica,modelo,turnos,shocks_totales,PIB_ini,PIB_fin,PIB_delta,pobreza_ini,pobreza_fin,pobreza_delta,aprobacion_ini,aprobacion_fin,deuda_fin,bienestar_ini,bienestar_fin,gobernabilidad_fin,estabilidad_fin,idh_fin,estres_fin,coherencia_temporal,diversidad_valores,reformas_totales,reformas_radicales,delta_iva_medio,delta_isr_medio,presup_salud,presup_educacion,presup_seguridad,presup_infraestructura,presup_agro_desarrollo_rural,presup_proteccion_social,presup_servicio_deuda,presup_justicia,presup_otros
1,0,claude-haiku-4-5,8,10,115000.0,146407.10478853292,31407.104788532917,55.0,42.593474514440445,-12.406525485559555,48.0,23.86221210044117,54.31486783153932,57.13392857142857,64.28155859706354,32.56317055107304,68.28510133538515,71.62077941460608,31.845332493666724,71.42857142857143,0.5435644431995964,16,2,0.5,0.875,15.0,15.0,10.625,13.25,10.875,12.75,11.125,6.75,4.625
1,0,gpt-4o-mini,8,10,115000.0,147087.2503345628,32087.250334562792,55.0,42.17568759310149,-12.824312406898507,48.0,30.887348001433608,59.112210665757864,57.13392857142857,64.5730553466307,34.82265107883363,67.32883683207315,71.78083024751159,32.61537884409298,100.0,-0.0,16,4,0.125,-0.1875,15.25,15.25,10.375,12.0,10.25,13.5,11.875,6.625,4.875
2,0,claude-haiku-4-5,8,11,115000.0,144484.02851744823,29484.028517448227,55.0,45.34240194189954,-9.657598058100461,48.0,22.34551995041555,83.51724415227093,57.13392857142857,63.04297138572884,33.993166462308295,58.09552331344721,71.6875128015069,30.04959547775882,57.14285714285714,1.4056390622295665,16,1,0.4375,0.875,16.0,16.0,10.25,12.5,10.75,13.5,10.25,6.5,4.25
2,0,gpt-4o-mini,8,11,115000.0,145376.24713001717,30376.247130017175,55.0,45.12035614396568,-9.87964385603432,48.0,30.247433114871125,53.39752681307658,57.13392857142857,63.156769857169955,36.81696128944102,70.06621530118832,71.76253178482861,30.37441249422737,100.0,-0.0,16,3,0.0,0.0,16.0,16.0,10.25,12.5,10.75,13.5,10.25,6.5,4.25
3,0,claude-haiku-4-5,8,9,115000.0,146674.24828022695,31674.24828022695,55.0,44.97761965941848,-10.02238034058152,48.0,42.72909610079204,56.88762100057711,57.13392857142857,63.22992230550039,42.71163869958268,63.705043388051884,71.87085142638941,32.470258805175924,71.42857142857143,0.5435644431995964,16,0,-0.0625,0.3125,16.0,16.0,10.25,12.5,10.75,13.5,10.25,6.5,4.25
3,0,gpt-4o-mini,8,9,115000.0,146077.3578002013,31077.35780020131,55.0,44.574817871152916,-10.425182128847084,48.0,49.33189303567525,53.02298755114573,57.13392857142857,63.606596317224586,43.80153510742981,69.37696279356356,72.04901694502597,32.953757881644854,100.0,-0.0,16,3,0.5,0.0625,17.0,17.0,9.875,11.75,10.625,14.25,9.375,6.25,3.875
4,0,claude-haiku-4-5,8,9,115000.0,146788.64767799043,31788.647677990433,55.0,44.23848662081008,-10.761513379189921,48.0,37.59281997053547,58.494914060585764,57.13392857142857,63.6087279877872,39.84089503930874,62.036315656165364,71.88035217410396,30.869524615005695,71.42857142857143,0.5435644431995964,16,1,0.42500000000000004,0.5625,16.0,16.0,10.25,12.5,10.75,13.5,10.25,6.5,4.25
4,0,gpt-4o-mini,8,9,115000.0,147484.83872370052,32484.838723700523,55.0,43.56783273043143,-11.432167269568573,48.0,41.9579447185841,59.35771307513619,57.13392857142857,64.10720001136816,40.99704339001207,63.45295143206542,72.14515379591539,32.15855075717863,85.71428571428572,0.5435644431995964,14,2,0.0,0.0,16.5,16.5,11.375,10.25,9.625,15.0,9.875,6.75,4.125
5,0,claude-haiku-4-5,8,12,115000.0,144012.24533723327,29012.245337233267,55.0,46.171391138158725,-8.828608861841275,48.0,21.605585276119992,68.23126245606935,57.13392857142857,62.44787632740792,32.29184407086046,59.13586681792863,71.41980001225902,32.59200070757452,100.0,-0.0,15,0,-0.15625,1.1875,15.0,15.0,10.625,13.25,10.875,12.75,11.125,6.75,4.625
5,0,gpt-4o-mini,8,12,115000.0,143821.92719938283,28821.92719938283,55.0,46.38579199567139,-8.61420800432861,48.0,26.513461469686906,51.54313596447367,57.13392857142857,62.28638279269458,33.45006672929399,67.9867889657013,71.3346030621897,34.114762285134816,100.0,-0.0,16,1,0.5,0.125,14.63875,14.63875,10.63875,12.88875,10.88875,12.63875,11.01375,7.26375,5.39
6,0,claude-haiku-4-5,8,3,115000.0,149238.09165903184,34238.09165903184,55.0,44.16524048373626,-10.834759516263738,48.0,56.016547333472474,52.05031500662869,57.13392857142857,63.47602853779942,49.9701801931521,69.60793730230812,71.85416150587058,27.70438851605404,100.0,-0.0,16,1,0.35,0.6875,15.0,15.0,10.625,13.25,10.875,12.75,11.125,6.75,4.625
6,0,gpt-4o-mini,8,3,115000.0,149927.19352545388,34927.193525453884,55.0,43.448887998773536,-11.551112001226464,48.0,64.27889536530455,63.16619647167755,57.13392857142857,64.01339728158092,53.843967356242764,66.6282824413668,72.13815707344204,27.603575087055184,100.0,-0.0,16,2,0.0,0.0,16.0,16.0,10.25,12.5,10.75,13.5,10.25,6.5,4.25
7,0,claude-haiku-4-5,8,11,115000.0,146682.8890536935,31682.889053693507,55.0,44.01412958560366,-10.985870414396338,48.0,25.085308735706956,62.51710313409215,57.13392857142857,63.72371096833049,34.63013271079157,62.39261230297457,71.87156929206,29.472807100631286,100.0,-0.0,16,0,0.46249999999999997,0.9375,16.0,16.0,10.25,12.5,10.75,13.5,10.25,6.5,4.25
7,0,gpt-4o-mini,8,11,115000.0,147595.36005459286,32595.360054592864,55.0,44.64012160954516,-10.359878390454838,48.0,29.128991159267226,54.78332433024404,57.13392857142857,63.13979481796524,35.79790379274064,67.6974510530426,71.59499645265115,31.076768419702297,100.0,-0.0,16,0,0.0,0.0,14.25,14.25,10.75,12.75,10.375,12.75,12.75,6.875,5.25
8,0,claude-haiku-4-5,8,10,115000.0,145575.8937391044,30575.893739104387,55.0,45.14986489502223,-9.850135104977767,48.0,37.09216265639051,60.919229362816885,57.13392857142857,62.97140852701537,38.65653433556238,63.850940108111374,71.55139816120234,32.070869171594715,71.42857142857143,0.5435644431995964,16,2,0.1875,0.8125,15.0,15.0,10.625,13.25,10.875,12.75,11.125,6.75,4.625
8,0,gpt-4o-mini,8,10,115000.0,145447.51824867807,30447.51824867807,55.0,44.08069138659055,-10.919308613409449,48.0,47.29269732492411,64.30857407940672,57.13392857142857,63.85983614056279,42.16791677575625,65.17903272186263,71.99636163063421,33.18482726861952,100.0,-0.0,16,1,0.25,0.0625,17.0,17.0,9.875,11.75,10.625,14.25,9.375,6.25,3.875
9,0,claude-haiku-4-5,8,14,115000.0,147958.4405168102,32958.440516810195,55.0,44.04421307533558,-10.955786924664423,48.0,24.36262439523228,77.58963933544308,57.13392857142857,63.36781698936669,30.81225366423101,58.63261728589257,71.52136516046664,34.889887076075745,100.0,-0.0,16,1,0.25,0.8125,14.0,14.0,11.0,14.0,11.0,12.0,12.0,7.0,5.0
9,0,gpt-4o-mini,8,14,115000.0,147180.6235663612,32180.623566361202,55.0,42.884425659830235,-12.115574340169765,48.0,26.05091066940226,65.20598670351406,57.13392857142857,64.38006518267032,29.029878295148837,64.42697999793432,72.01642072456137,36.2292031082922,100.0,-0.0,16,2,0.625,0.375,16.25,16.25,10.0,11.25,10.125,14.25,11.0,6.375,4.5
10,0,claude-haiku-4-5,8,10,115000.0,144126.1543159482,29126.154315948195,55.0,46.36920271254976,-8.630797287450243,48.0,29.05411974709648,74.2045792437977,57.13392857142857,62.346497895532515,33.965845800432454,59.14424153200914,71.42943484246673,31.237704085438295,100.0,-0.0,16,1,0.625,1.1875,15.0,15.0,10.625,13.25,10.875,12.75,11.125,6.75,4.625
10,0,gpt-4o-mini,8,10,115000.0,145163.33855285015,30163.338552850153,55.0,45.860735039083885,-9.139264960916115,48.0,36.91545402194449,67.2382896548997,57.13392857142857,62.68446853056473,37.75980860694612,62.752649982321316,71.62038632992895,32.28428211829941,100.0,-0.0,15,2,0.0,0.0,15.25,15.25,10.375,12.0,10.25,13.5,11.875,6.625,4.875
