seed,replica,modelo,t,n_shocks,pib_usd_mm,crecimiento_pib,inflacion,deuda_pib,balance_fiscal_pib,pobreza_general,homicidios_100k,aprobacion_presidencial,indice_protesta,confianza_institucional,presup_salud,presup_educacion,presup_seguridad,presup_infraestructura,presup_agro_desarrollo_rural,presup_proteccion_social,presup_servicio_deuda,presup_justicia,presup_otros,delta_iva_pp,delta_isr_pp,n_reformas,ind_bienestar,ind_gobernabilidad,ind_desarrollo_humano,ind_estabilidad_macro,ind_estres_social
1,0,claude-haiku-4-5,0,1,118528.9123334754,3.068619420413392,4.198485311860436,29.945810860174706,-1.445810860174707,53.30148364672154,16.693483071331567,43.250848481492085,27.60584736435823,26.170585826124018,14.0,14.0,11.0,14.0,11.0,12.0,12.0,7.0,5.0,0.5,1.0,2,58.08179915486473,42.52209177484426,68.09384552638221,74.94123533014485,35.38140414203823
1,0,claude-haiku-4-5,1,1,122561.6470146358,3.402321511071076,4.004563403427625,31.072541397392605,-1.1267305372179002,50.99917942530614,15.867702967627055,38.74713111162032,28.042579897387895,27.265694405526737,14.0,14.0,11.0,14.0,11.0,12.0,12.0,7.0,5.0,0.5,1.5,2,59.33911102072108,40.56671425730055,68.60512302697101,76.85046504926001,33.77560221019452
1,0,claude-haiku-4-5,2,0,127159.61759033769,3.7515574306477983,4.234932323772189,32.26227707388426,-1.189735676491658,49.24927915808351,15.978805738784027,39.66696502488425,28.988445776645552,28.301307473892066,14.0,14.0,11.0,14.0,11.0,12.0,12.0,7.0,5.0,1.5,0.0,2,60.31331586005362,40.27713393745416,69.1574883827629,77.84943972963896,33.17159290145075
1,0,claude-haiku-4-5,3,0,130870.45663231215,2.918252753739365,4.427677310347792,34.57500650874723,-2.312729434862969,47.96704732202472,15.357515222989532,41.04801928078987,22.88719764079952,28.931587178930066,14.0,14.0,11.0,14.0,11.0,12.0,12.0,7.0,5.0,0.5,1.0,2,61.04784062841469,41.55970979905068,69.61158477923205,74.67469472161068,31.08759632520229
1,0,claude-haiku-4-5,4,2,135183.87665063218,3.2959463345030073,4.345715244668896,37.74389868599992,-3.168892177252692,46.54195929740857,15.306403122851972,34.2760552119457,30.855178514734014,29.58063300244146,14.0,14.0,11.0,14.0,11.0,12.0,12.0,7.0,5.0,0.0,1.0,2,61.85557919341144,38.211942585452775,70.11031958892096,74.60834437556288,31.912728446404472
1,0,claude-haiku-4-5,5,4,136457.12141539942,0.9418614085596968,3.552289596307415,42.91360017982616,-5.169701493826242,45.269835609462454,16.53670875318981,26.548150237869656,47.31533060524502,29.42609647464315,22.0,22.0,8.0,8.0,10.0,18.0,5.0,5.0,2.0,1.0,2.0,2,62.75516163110285,31.90643086977456,70.55598521225582,66.31157046677586,34.86815739232736
1,0,claude-haiku-4-5,6,0,141150.73500953862,3.4396252430468692,3.9768436962124656,48.33346692001463,-5.419866740188469,44.37708773108693,16.798198802084876,27.054593940516515,36.07783252873353,30.044069576360737,14.0,14.0,11.0,14.0,11.0,12.0,12.0,7.0,5.0,0.0,1.0,2,63.29007587115126,34.073835843228736,71.0716581380552,70.12645151077798,32.37304067226593
1,0,claude-haiku-4-5,7,2,146407.10478853292,3.723940777665165,3.9006243908825247,54.31486783153932,-5.9814009115246884,42.593474514440445,16.980737832720262,23.86221210044117,36.47933469922403,30.654641373206175,14.0,14.0,11.0,14.0,11.0,12.0,12.0,7.0,5.0,0.0,-0.5,2,64.28155859706354,32.56317055107304,71.62077941460608,68.28510133538515,31.845332493666724
1,0,gpt-4o-mini,0,1,118615.1623334754,3.1436194204133923,4.217235311860437,30.475810860174708,-1.975810860174707,53.275233646721546,16.693483071331567,44.77859848149208,29.595347364358233,26.19308582612402,14.0,14.0,11.0,14.0,11.0,12.0,12.0,7.0,5.0,0.0,0.0,2,58.09525227986473,42.31483677484426,68.10270961460297,74.19898882664836,35.765260392038236
1,0,gpt-4o-mini,1,1,122678.1130042758,3.4253215110710755,4.0207348878026234,32.63274139739261,-2.1569305372179004,51.26487942530614,15.851009484555723,39.720303924120316,35.839934897387906,27.291719405526738,8.0,8.0,12.0,10.0,7.0,12.0,25.0,8.0,10.0,0.0,0.0,2,59.11008262786393,39.77400567605055,68.49241163297388,75.07287516271425,35.471658215837415
