seed,replica,modelo,turnos,shocks_totales,PIB_ini,PIB_fin,PIB_delta,pobreza_ini,pobreza_fin,pobreza_delta,aprobacion_ini,aprobacion_fin,deuda_fin,bienestar_ini,bienestar_fin,gobernabilidad_fin,estabilidad_fin,idh_fin,estres_fin,coherencia_temporal,diversidad_valores,reformas_totales,reformas_radicales,delta_iva_medio,delta_isr_medio,presup_salud,presup_educacion,presup_seguridad,presup_infraestructura,presup_agro_desarrollo_rural,presup_proteccion_social,presup_servicio_deuda,presup_justicia,presup_otros
1,0,claude-haiku-4-5,8,10,115000.0,146707.5323470626,31707.532347062603,55.0,41.96851608191547,-13.031483918084533,48.0,25.595012438194743,66.990124410297,57.13392857142857,64.77208788897067,33.02881584807428,62.2653399346646,71.87361639669643,30.984274503856334,100.0,-0.0,16,2,0.3125,0.625,16.0,16.0,10.25,12.5,10.75,13.5,10.25,6.5,4.25
1,0,gpt-4o-mini,8,10,115000.0,147010.93192374616,32010.93192374616,55.0,39.145714565632765,-15.854285434367235,48.0,36.45253017470709,60.23283888482473,57.13392857142857,67.06996414225604,38.203378639058315,67.17075356435024,73.03807720498048,29.85644502468793,100.0,-0.0,16,4,0.0,0.0,21.0,21.0,8.375,8.75,10.125,17.25,5.875,5.25,2.375
2,0,claude-haiku-4-5,8,11,115000.0,144783.37878988078,29783.37878988078,55.0,43.06786120096918,-11.932138799030817,48.0,21.019601454649543,68.91793639560905,57.13392857142857,64.88962589640803,31.943061731356465,61.73844812614561,72.62416267678931,27.983617551684524,100.0,-0.0,16,5,-1.125,1.875,20.0,20.0,8.75,9.5,10.25,16.5,6.75,5.5,2.75
2,0,gpt-4o-mini,8,11,115000.0,144962.07762750625,29962.077627506253,55.0,41.92327389789501,-13.076726102104992,48.0,33.08976943998028,57.97983924957702,57.13392857142857,65.81670307970974,38.88928729840784,67.92817409769869,73.09490811818335,28.3269203722364,100.0,-0.0,16,2,0.0,0.0,22.0,22.0,8.0,8.0,10.0,18.0,5.0,5.0,2.0
3,0,claude-haiku-4-5,8,9,115000.0,146099.84173892706,31099.84173892706,55.0,45.118965596204916,-9.881034403795084,48.0,39.676560954013006,63.10615586592511,57.13392857142857,63.15748251289734,38.35607264959374,61.99285121016998,71.82303528587917,32.69179071161911,100.0,-0.0,16,4,0.375,1.25,16.0,16.0,10.25,12.5,10.75,13.5,10.25,6.5,4.25
3,0,gpt-4o-mini,8,9,115000.0,146720.51633278086,31720.516332780855,55.0,42.76624609123347,-12.23375390876653,48.0,51.27469774769391,62.52137481833503,57.13392857142857,65.04420364014759,44.4232998723684,64.23376160214522,72.7861234022665,31.819965264856727,100.0,-0.0,16,4,0.0,0.0,20.0,20.0,8.75,9.5,10.25,16.5,6.75,5.5,2.75
4,0,claude-haiku-4-5,8,9,115000.0,146407.68761427831,31407.687614278315,55.0,42.68229216356325,-12.317707836436753,48.0,38.98039236387834,73.27040959679303,57.13392857142857,64.91699193284046,38.766503496153376,58.144562841855596,72.53225649622063,29.621788948031778,100.0,-0.0,15,3,0.625,0.8125,19.0,19.0,9.125,10.25,10.375,15.75,7.625,5.75,3.125
4,0,gpt-4o-mini,8,9,115000.0,147411.31754978845,32411.31754978845,55.0,41.33591465212931,-13.664085347870689,48.0,48.227866916280135,63.201353214407085,57.13392857142857,65.94748659792656,45.14912965237562,62.57138251819963,73.07122047412656,29.774965367438213,100.0,-0.0,16,1,0.0,0.0,21.0,21.0,8.375,8.75,10.125,17.25,5.875,5.25,2.375
5,0,claude-haiku-4-5,8,12,115000.0,143226.54801955045,28226.54801955045,55.0,44.16908112928253,-10.830918870717468,48.0,19.19922387123379,62.1206793086903,57.13392857142857,64.15501258790934,30.298684042868896,62.41686783355713,72.26456318440336,31.51139251584368,100.0,-0.0,16,1,0.5625,1.375,19.0,19.0,9.125,10.25,10.375,15.75,7.625,5.75,3.125
5,0,gpt-4o-mini,8,12,115000.0,144277.23798237808,29277.23798237808,55.0,42.8051141188276,-12.194885881172397,48.0,31.759548730872133,62.17837954531764,57.13392857142857,65.19452187124368,36.93052641923308,63.26578277829858,72.8093451569519,30.996711195402156,100.0,-0.0,16,1,0.0,0.0,21.0,21.0,8.375,8.75,10.125,17.25,5.875,5.25,2.375
