seed,replica,modelo,t,n_shocks,pib_usd_mm,crecimiento_pib,inflacion,deuda_pib,balance_fiscal_pib,pobreza_general,homicidios_100k,aprobacion_presidencial,indice_protesta,confianza_institucional,presup_salud,presup_educacion,presup_seguridad,presup_infraestructura,presup_agro_desarrollo_rural,presup_proteccion_social,presup_servicio_deuda,presup_justicia,presup_otros,delta_iva_pp,delta_isr_pp,n_reformas,ind_bienestar,ind_gobernabilidad,ind_desarrollo_humano,ind_estabilidad_macro,ind_estres_social
1,0,claude-haiku-4-5,0,1,118528.9123334754,3.068619420413392,4.198485311860436,29.945810860174706,-1.445810860174707,53.30148364672154,16.693483071331567,43.250848481492085,27.60584736435823,26.170585826124018,14.0,14.0,11.0,14.0,11.0,12.0,12.0,7.0,5.0,0.5,1.0,2,58.08179915486473,42.52209177484426,68.09384552638221,74.94123533014485,35.38140414203823
1,0,claude-haiku-4-5,1,1,122650.54369888591,3.477321511071076,4.0233134034276254,32.11754139739261,-2.1717305372179,50.97292942530614,15.867702967627055,40.27488111162032,30.032079897387895,27.28819440552674,14.0,14.0,11.0,14.0,11.0,12.0,12.0,7.0,5.0,0.0,0.0,2,59.352564145721075,41.10945925730056,68.6139585191928,75.27719581849078,34.159458460194514
1,0,claude-haiku-4-5,2,0,127535.17204069582,3.9825574306477987,4.303105001776722,34.50667707388426,-2.389135676491658,49.142179158083515,15.978805738784027,39.77709688248062,25.63668077664555,28.389732473892067,14.0,14.0,11.0,14.0,11.0,12.0,12.0,7.0,5.0,0.0,1.5,2,60.36820461005361,41.39943779334077,69.19342526459562,75.98340391431674,32.44394140145075
1,0,claude-haiku-4-5,3,0,131352.75698786223,2.9933585269702876,4.484463309367023,37.30379593142414,-2.797118857539876,47.8336603013939,15.357515222989532,41.17695262991248,17.984842582547188,29.029280160899344,14.0,14.0,11.0,14.0,11.0,12.0,12.0,7.0,5.0,0.0,1.5,2,61.116201476488,42.459701669956964,69.65641121007197,73.3817571826099,30.035763257514333
1,0,claude-haiku-4-5,4,2,135679.59930376982,3.294062808523623,4.37733697181568,42.482265883951676,-5.1784699525275375,46.40923151087053,15.306403122851972,35.905294973668795,26.635085600604317,29.663106979321526,14.0,14.0,11.0,14.0,11.0,12.0,12.0,7.0,5.0,0.0,-1.5,2,61.923602184012175,39.50624821238526,70.15492381696225,70.62709420223175,30.997700497780677
1,0,claude-haiku-4-5,5,4,136870.80002839147,0.877951240078999,3.554764337416247,50.11043616990084,-7.6281702859491585,45.15947638189265,16.53670875318981,28.165526967979293,43.68410793720686,29.477026304446994,22.0,22.0,8.0,8.0,10.0,18.0,5.0,5.0,2.0,1.5,2.0,2,62.81172073523237,33.12775738016587,70.59287164237847,61.04112442381275,34.10052814838106
1,0,claude-haiku-4-5,6,0,141491.4765629503,3.375940327374663,3.9633694246287297,58.69764019377944,-8.587204023878607,44.289018224002405,16.798198802084876,30.168521531473942,34.956065458067286,27.068254456992342,14.0,14.0,11.0,14.0,11.0,12.0,12.0,7.0,5.0,0.5,-1.0,2,63.33521149353208,34.25491976658776,71.10103974274975,63.872116545246605,32.115661192975985
1,0,claude-haiku-4-5,7,2,146707.5323470626,3.6864805646378778,3.8848604323765277,66.990124410297,-8.292484216517556,41.96851608191547,17.02273332972547,25.595012438194743,33.275849316147735,28.113960457834853,22.0,22.0,8.0,8.0,10.0,18.0,5.0,5.0,2.0,0.0,1.5,2,64.77208788897067,33.02881584807428,71.87361639669643,62.2653399346646,30.984274503856334
1,0,gpt-4o-mini,0,1,118558.81233347542,3.0946194204133923,4.204985311860437,30.38071086017471,-1.8807108601747071,52.74238364672155,16.73473307133156,44.87046848149208,29.382207364358234,26.178385826124018,22.0,22.0,8.0,8.0,10.0,18.0,5.0,5.0,2.0,0.0,0.0,2,58.53857600010282,42.828043374844256,68.32477628338661,74.27863154226606,35.45130764203823
1,0,gpt-4o-mini,1,1,122628.13195246768,3.432321511071076,4.015676184677623,32.69184139739261,-2.3111305372179003,49.87957942530615,15.950727925305378,42.096780886620316,31.104645897387904,27.281324405526735,22.0,22.0,8.0,8.0,10.0,18.0,5.0,5.0,2.0,0.0,0.0,2,60.25338221119726,41.64169079180055,69.0674458925091,74.86972014577807,33.816704396087296
1,0,gpt-4o-mini,2,0,127456.76523525505,3.9376227998474342,4.287664043057694,35.7198705369643,-3.0280291395716947,47.514556278863644,16.101582978839094,43.41440668489963,27.89731272495761,28.37041258465195,22.0,22.0,8.0,8.0,10.0,18.0,5.0,5.0,2.0,0.0,0.0,2,61.71307562136809,42.73270906297817,69.86950267831567,74.74820936946043,32.06621529741555
1,0,gpt-4o-mini,3,0,131222.46706133295,2.9544934857928666,4.466156253723946,39.65476936170196,-3.934898824737655,45.66964018658612,15.520362254631612,46.7422795792188,21.04077169268933,29.00119874269202,22.0,22.0,8.0,8.0,10.0,18.0,5.0,5.0,2.0,0.0,0.0,2,62.906214166279355,45.09701251196351,70.55574649464064,71.19826698355497,29.543480662001294
