seed,replica,model,delta_hogares,delta_ninios,muertes_anuales,welfare_usd_mm
1,0,claude_haiku_4_5,-474346.01461827697,-27081.599999998958,-5077.799999999959,-7493.103252898606
1,0,gpt_4o_mini,-577095.9898109674,-51105.599999998834,-9582.299999999937,-9116.21412476116
2,0,claude_haiku_4_5,-434329.85228472174,-46300.79999999885,-8681.39999999994,-6860.979809442721
2,0,gpt_4o_mini,-475992.8301166217,-55910.39999999881,-10483.199999999932,-7519.11750871037
3,0,claude_haiku_4_5,-359669.6522981411,-27081.599999998958,-5077.799999999959,-5681.594782182174
3,0,gpt_4o_mini,-445308.6422791017,-46300.79999999885,-8681.39999999994,-7034.408497540755
4,0,claude_haiku_4_5,-448364.5652462978,-41495.99999999889,-7780.499999999945,-7082.682005951133
4,0,gpt_4o_mini,-497372.7066624931,-51105.599999998834,-9582.299999999937,-7856.849075025647
5,0,claude_haiku_4_5,-394245.4468941158,-41495.99999999889,-7780.499999999945,-6227.778350662545
5,0,gpt_4o_mini,-443893.8460746752,-51105.599999998834,-9582.299999999937,-7012.0593816741275
6,0,claude_haiku_4_5,-396321.79906503356,-22276.79999999898,-4176.899999999964,-6260.577869845997
6,0,gpt_4o_mini,-536834.2520897456,-55910.39999999881,-10483.199999999932,-8480.211399769334
7,0,claude_haiku_4_5,-438931.95808226493,-36691.199999998906,-6879.59999999995,-6933.677909266548
7,0,gpt_4o_mini,-524502.7088861575,-55910.39999999881,-10483.199999999932,-8285.413670591774
8,0,claude_haiku_4_5,-356029.1803296547,-22276.79999999898,-4176.899999999964,-5624.0873266360295
8,0,gpt_4o_mini,-478867.82568590774,-51105.599999998834,-9582.299999999937,-7564.5329606977175
9,0,claude_haiku_4_5,-494233.00205389236,-41495.99999999889,-7780.499999999945,-7807.252092884289
9,0,gpt_4o_mini,-520759.9584596472,-46300.79999999885,-8681.39999999994,-8226.29055259058
10,0,claude_haiku_4_5,-356385.9924455175,-31886.399999998932,-5978.699999999954,-5629.723781762982
10,0,gpt_4o_mini,-421913.2411911011,-46300.79999999885,-8681.39999999994,-6664.8382880462395
