seed,replica,modelo,turnos,shocks_totales,PIB_ini,PIB_fin,PIB_delta,pobreza_ini,pobreza_fin,pobreza_delta,aprobacion_ini,aprobacion_fin,deuda_fin,bienestar_ini,bienestar_fin,gobernabilidad_fin,estabilidad_fin,idh_fin,estres_fin,coherencia_temporal,diversidad_valores,reformas_totales,reformas_radicales,delta_iva_medio,delta_isr_medio,presup_salud,presup_educacion,presup_seguridad,presup_infraestructura,presup_agro_desarrollo_rural,presup_proteccion_social,presup_servicio_deuda,presup_justicia,presup_otros
1,0,claude-haiku-4-5,8,10,115000.0,146652.03225469426,31652.032254694263,55.0,41.433910931642075,-13.566089068357925,48.0,26.19072053098933,53.73834965815106,57.13392857142857,65.21631112372388,34.40192977816483,67.81931669431279,72.09686269285184,31.25957074138801,100.0,-0.0,16,0,0.1875,0.6875,17.0,17.0,9.875,11.75,10.625,14.25,9.375,6.25,3.875
1,0,gpt-4o-mini,8,10,115000.0,147080.93077128884,32080.93077128884,55.0,39.67855462954135,-15.321445370458648,48.0,35.382775962065715,65.78383264648693,57.13392857142857,66.6266455142648,37.84065793416907,63.872740224116974,72.816020958594,30.315067538218386,100.0,-0.0,16,5,0.0,0.0,20.0,20.0,8.75,9.5,10.25,16.5,6.75,5.5,2.75
2,0,claude-haiku-4-5,8,11,115000.0,144292.59598419216,29292.595984192158,55.0,43.74036285043429,-11.259637149565712,48.0,21.589225962269694,78.44171151395938,57.13392857142857,64.37473070581908,32.44645016515015,59.37300124751716,72.35492796392228,29.46313976488115,71.42857142857143,0.5435644431995964,16,4,0.25,1.375,19.0,19.0,9.125,10.25,10.375,15.75,7.625,5.75,3.125
2,0,gpt-4o-mini,8,11,115000.0,145031.52870229792,30031.528702297917,55.0,42.45612150847203,-12.54387849152797,48.0,32.560156990969574,58.43533809308049,57.13392857142857,65.3733805840509,38.311282671489955,67.86423015397472,72.87288781522662,28.671751302895657,100.0,-0.0,16,4,0.0,0.0,21.0,21.0,8.375,8.75,10.125,17.25,5.875,5.25,2.375
3,0,claude-haiku-4-5,8,9,115000.0,146577.70519094123,31577.705190941226,55.0,45.001547867266225,-9.998452132733775,48.0,38.32537092077341,58.94497231430478,57.13392857142857,63.21765909897842,39.657879115969784,63.56970374359067,71.86282785874815,31.6560303054261,100.0,-0.0,16,1,-0.2625,1.375,16.0,16.0,10.25,12.5,10.75,13.5,10.25,6.5,4.25
3,0,gpt-4o-mini,8,9,115000.0,146581.42296027532,31581.42296027532,55.0,41.70055047377112,-13.299449526228877,48.0,52.22623915880256,57.26547677357546,57.13392857142857,65.93084883457323,45.62917663663793,66.29046709372246,73.23027979257489,31.155478297143034,100.0,-0.0,16,1,0.0,0.0,22.0,22.0,8.0,8.0,10.0,18.0,5.0,5.0,2.0
4,0,claude-haiku-4-5,8,9,115000.0,146535.24326745715,31535.243267457146,55.0,43.200195513359674,-11.799804486640326,48.0,35.51938322705973,86.33691979452738,57.13392857142857,64.48132837083172,37.12646876544432,55.07361455249499,72.31501151706529,30.1946822119544,100.0,-0.0,16,3,0.5,1.375,18.0,18.0,9.5,11.0,10.5,15.0,8.5,6.0,3.5
4,0,gpt-4o-mini,8,9,115000.0,147411.17251215564,32411.172512155637,55.0,41.33591380209028,-13.664086197909718,48.0,48.120180575239615,66.9964527016453,57.13392857142857,65.94748703357156,44.92648320149343,60.59843977909943,73.07120848445416,29.797177589616695,100.0,-0.0,16,3,0.0,0.0,21.0,21.0,8.375,8.75,10.125,17.25,5.875,5.25,2.375
5,0,claude-haiku-4-5,8,12,115000.0,143832.4492045171,28832.449204517092,55.0,44.567261280408765,-10.432738719591235,48.0,18.94813524078689,60.01802001375181,57.13392857142857,63.780707165219056,30.634324425743117,62.194401298811535,72.08814812007195,31.903004230104727,100.0,-0.0,16,3,0.25,1.375,18.0,18.0,9.5,11.0,10.5,15.0,8.5,6.0,3.5
5,0,gpt-4o-mini,8,12,115000.0,144345.2914021259,29345.291402125906,55.0,43.3379641188276,-11.6620358811724,48.0,31.55565845064649,57.518579545317635,57.13392857142857,64.7511981510056,36.79509624274734,65.33513298331414,72.58723456102884,31.26066484385578,100.0,-0.0,16,1,0.0,0.0,20.0,20.0,8.75,9.5,10.25,16.5,6.75,5.5,2.75
6,0,claude-haiku-4-5,8,3,115000.0,148756.81420364333,33756.81420364333,55.0,43.182480480610884,-11.817519519389116,48.0,61.20139715601339,74.08875462355999,57.13392857142857,64.32016922987738,51.73832083260556,60.95498011041645,72.27051405228507,27.85427889578868,100.0,-0.0,16,3,0.61875,0.25,17.0,17.0,9.875,11.75,10.625,14.25,9.375,6.25,3.875
6,0,gpt-4o-mini,8,3,115000.0,149573.00560761397,34573.00560761397,55.0,40.784649367844665,-14.215350632155335,48.0,66.48721248332284,66.26910324285973,57.13392857142857,66.23001005612244,55.00802777533343,63.84913528660367,73.24862079170404,26.017056755301773,100.0,-0.0,16,2,0.0,0.0,21.0,21.0,8.375,8.75,10.125,17.25,5.875,5.25,2.375
7,0,claude-haiku-4-5,8,12,115000.0,146341.78810927103,31341.78810927103,55.0,44.09791969189498,-10.90208030810502,48.0,19.908729198243588,52.53076573254452,57.13392857142857,63.680768538856185,29.575790346687043,68.2182527568321,71.84319884715117,31.121069256394378,100.0,-0.0,16,2,0.5625,1.375,16.0,16.0,10.25,12.5,10.75,13.5,10.25,6.5,4.25
7,0,gpt-4o-mini,8,11,115000.0,147255.4916342719,32255.491634271893,55.0,41.123434920709954,-13.876565079290046,48.0,34.2345534029523,55.443233374043075,57.13392857142857,66.05638246027898,38.35330465633336,67.16415237306413,73.05833217129683,28.41772199877264,100.0,-0.0,16,3,0.0,0.0,21.0,21.0,8.375,8.75,10.125,17.25,5.875,5.25,2.375
8,0,claude-haiku-4-5,8,10,115000.0,145075.96743032345,30075.96743032345,55.0,45.27384752619006,-9.72615247380994,48.0,36.52138818350426,76.87321479475938,57.13392857142857,62.907867428541856,38.16344755582294,58.5812297155784,71.50947823235146,32.86917344620863,100.0,-0.0,16,3,0.4375,0.9375,15.0,15.0,10.625,13.25,10.875,12.75,11.125,6.75,4.625
8,0,gpt-4o-mini,8,9,115000.0,145527.8168856392,30527.816885639186,55.0,41.31144794669524,-13.688552053304761,48.0,51.38727593682328,70.06167993016682,57.13392857142857,66.13026387969961,45.990965999264056,61.8929714528117,73.14237307187022,29.871886894531343,100.0,-0.0,16,3,0.0,0.0,22.0,22.0,8.0,8.0,10.0,18.0,5.0,5.0,2.0
9,0,claude-haiku-4-5,8,14,115000.0,146975.8761753828,31975.876175382786,55.0,40.985555564585795,-14.014444435414205,48.0,24.998238440654188,79.83192823611537,57.13392857142857,65.95680753505452,28.99587087172921,57.91226334725314,72.8073139081087,33.494510708007475,71.42857142857143,0.5435644431995964,16,1,0.625,1.125,20.0,20.0,8.75,9.5,10.25,16.5,6.75,5.5,2.75
9,0,gpt-4o-mini,8,13,115000.0,148095.7328090112,33095.73280901121,55.0,40.16055773462507,-14.839442265374927,48.0,35.49147340700715,68.20966675093902,57.13392857142857,66.54985701814748,36.63287289391979,63.283210732454855,73.12766734058582,31.375550316247555,100.0,-0.0,16,4,0.0,0.0,21.0,21.0,8.375,8.75,10.125,17.25,5.875,5.25,2.375
10,0,claude-haiku-4-5,8,11,115000.0,143631.51771397993,28631.517713979934,55.0,44.842162135135595,-10.157837864864405,48.0,30.761339103100763,61.15448007754259,57.13392857142857,63.639820477171554,34.802018456760806,62.642312307370545,72.07111273767016,31.70854811804447,100.0,-0.0,16,2,0.8125,0.6875,18.0,18.0,9.5,11.0,10.5,15.0,8.5,6.0,3.5
10,0,gpt-4o-mini,8,10,115000.0,144899.9348531153,29899.934853115294,55.0,42.876132369864564,-12.123867630135436,48.0,41.91970930474111,66.95887241472835,57.13392857142857,65.15812501758724,40.820975318762905,62.627355153151036,72.86182597205419,29.67886815523397,100.0,-0.0,16,3,0.0,0.0,21.0,21.0,8.375,8.75,10.125,17.25,5.875,5.25,2.375
