metric,fixed_effect_b_minus_a,se,ci95_lo,ci95_hi,p_value,n_obs,n_seeds,error,p_bh,sig_bh
pib_usd_mm,,,,,,160,10,Singular matrix,,
deuda_pib,-0.8590238820253265,2.0177787952003965,-4.813870320618103,3.0958225565674504,0.6703064355446215,160,10,,0.6703064355446215,
pobreza_general,,,,,,160,10,Singular matrix,,
aprobacion_presidencial,6.482899697096601,0.9917646491687082,4.539040984725933,8.426758409467269,6.287758041699976e-11,160,10,,1.571939510424994e-10,***
indice_protesta,-1.3386244174717863,0.9954816774936327,-3.2897685053593064,0.6125196704157339,0.17872206787940803,160,10,,0.22340258484926004,
ind_bienestar,,,,,,160,10,Singular matrix,,
ind_gobernabilidad,3.6163905057352026,0.5309344926530891,2.575758900135148,4.657022111335257,9.667460842828188e-12,160,10,,4.8337304214140936e-11,***
ind_estabilidad_macro,,,,,,160,10,Singular matrix,,
ind_desarrollo_humano,,,,,,160,10,Singular matrix,,
ind_estres_social,,,,,,160,10,Singular matrix,,
delta_iva_pp,-0.39812500000000023,0.06429839118044656,-0.5241498467136755,-0.272100153286325,5.946795680285042e-10,160,10,,9.911326133808403e-10,***
delta_isr_pp,,,,,,160,10,Singular matrix,,
presup_salud,,,,,,160,10,Singular matrix,,
presup_educacion,,,,,,160,10,Singular matrix,,
presup_seguridad,,,,,,160,10,Singular matrix,,
presup_infraestructura,,,,,,160,10,Singular matrix,,
presup_agro_desarrollo_rural,,,,,,160,10,Singular matrix,,
presup_proteccion_social,,,,,,160,10,Singular matrix,,
presup_servicio_deuda,,,,,,160,10,Singular matrix,,
presup_justicia,,,,,,160,10,Singular matrix,,
presup_otros,,,,,,160,10,Singular matrix,,
