seed,replica,model,delta_hogares,delta_ninios,muertes_anuales,welfare_usd_mm
1,0,claude_haiku_4_5,-493805.6420882285,-31886.399999998932,-5978.699999999954,-7800.5012143058075
1,0,gpt_4o_mini,-557700.6114846948,-46300.79999999885,-8681.39999999994,-8809.831088013721
2,0,claude_haiku_4_5,-409850.7922441919,-41495.99999999889,-7780.499999999945,-6474.291361000285
2,0,gpt_4o_mini,-456597.1770916182,-51105.599999998834,-9582.299999999937,-7212.730132628584
3,0,claude_haiku_4_5,-363943.65763150936,-27081.599999998958,-5077.799999999959,-5749.109976321921
3,0,gpt_4o_mini,-484099.96275473107,-55910.39999999881,-10483.199999999932,-7647.183477581603
4,0,claude_haiku_4_5,-429512.8833137079,-36691.199999998906,-6879.59999999995,-6784.887579818189
4,0,gpt_4o_mini,-497372.7376039138,-51105.599999998834,-9582.299999999937,-7856.849563798089
5,0,claude_haiku_4_5,-379751.68939312093,-36691.199999998906,-6879.59999999995,-5998.82476376496
5,0,gpt_4o_mini,-424498.10607467534,-46300.79999999885,-8681.39999999994,-6705.67063167413
6,0,claude_haiku_4_5,-430157.7105057638,-31886.399999998932,-5978.699999999954,-6795.073723648742
6,0,gpt_4o_mini,-517438.7630104542,-51105.599999998834,-9582.299999999937,-8173.826613489318
7,0,claude_haiku_4_5,-396835.72321502276,-27081.599999998958,-5077.799999999959,-6268.696177160387
7,0,gpt_4o_mini,-505106.9688861577,-51105.599999998834,-9582.299999999937,-7979.024920591777
8,0,claude_haiku_4_5,-354031.95004668186,-22276.79999999898,-4176.899999999964,-5592.537672440716
8,0,gpt_4o_mini,-498263.29474029335,-55910.39999999881,-10483.199999999932,-7870.917430650239
9,0,claude_haiku_4_5,-510125.7774490771,-46300.79999999885,-8681.39999999994,-8058.305550363169
9,0,gpt_4o_mini,-540155.6984596474,-51105.599999998834,-9582.299999999937,-8532.679302590583
10,0,claude_haiku_4_5,-369745.2982810644,-36691.199999998906,-6879.59999999995,-5840.756772297033
10,0,gpt_4o_mini,-441308.7817369299,-51105.599999998834,-9582.299999999937,-6971.223887327876
