model,dim,n_seeds,w_mean,w_std,ic95_lo,ic95_hi
claude_haiku_4_5,anti_desviacion_inflacion,10,0.0898064726208623,0.073672964695526,0.04710069830901909,0.13320155455754246
claude_haiku_4_5,anti_deuda,10,0.06025685948081071,0.023237731673693664,0.04715983648711271,0.07410474520669705
claude_haiku_4_5,anti_pobreza,10,1.2119028840552328,0.3962348386208394,0.9748903207862064,1.4527038791110023
claude_haiku_4_5,pro_aprobacion,10,-0.08444976437203737,0.3125529262807874,-0.2684047324045791,0.10029104879947606
claude_haiku_4_5,pro_confianza,10,0.015307402544039238,0.032120846466920774,-0.003791269555142721,0.034174430709749105
claude_haiku_4_5,pro_crecimiento,10,0.0340545549440666,0.11805958665745321,-0.035895759210213644,0.10295445993190704
gpt_4o_mini,anti_desviacion_inflacion,10,-0.003201048073504416,0.050165815100285206,-0.03391655718001816,0.02661649590802887
gpt_4o_mini,anti_deuda,10,0.013356432697480991,0.03985648018035357,-0.010718142980926286,0.035831506284015394
gpt_4o_mini,anti_pobreza,10,2.097362037548835,0.20640390818771587,1.972925730922982,2.2161523862688832
gpt_4o_mini,pro_aprobacion,10,-0.06866957394178894,0.3018758624512458,-0.23513958605971153,0.11791371867741357
gpt_4o_mini,pro_confianza,10,0.015118744542007087,0.022753528466372776,0.001780412664899398,0.028296071705908168
gpt_4o_mini,pro_crecimiento,10,0.0590854680656218,0.0852294868730093,0.0024753926255416223,0.10630028165434185
