modelo,metrica,n,mean,std,ic95_lo,ic95_hi
claude-haiku-4-5,PIB_delta,10,30867.33506415016,1842.7348194246367,29811.829577211072,31932.217469915013
claude-haiku-4-5,PIB_fin,10,145867.3350641502,1842.7348194246367,144767.1352753918,146930.86727019754
claude-haiku-4-5,PIB_ini,10,115000.0,0.0,115000.0,115000.0
claude-haiku-4-5,aprobacion_fin,10,31.929541392697065,11.13042460572903,25.591130862296634,38.73728522487594
claude-haiku-4-5,aprobacion_ini,10,48.0,0.0,48.0,48.0
claude-haiku-4-5,bienestar_fin,10,64.06698036203478,0.8718775831212487,63.5772142667485,64.59717382706674
claude-haiku-4-5,bienestar_ini,10,57.13392857142857,0.0,57.13392857142857,57.13392857142857
claude-haiku-4-5,coherencia_temporal,10,100.0,0.0,100.0,100.0
claude-haiku-4-5,delta_isr_medio,10,1.0625,0.3644344934278313,0.85,1.28125
claude-haiku-4-5,delta_iva_medio,10,0.4375,0.20623947784607635,0.3125,0.55625
claude-haiku-4-5,deuda_fin,10,65.56833977439089,19.78909807586953,53.54992436651927,76.93201588550022
claude-haiku-4-5,diversidad_valores,10,0.0,0.0,0.0,0.0
claude-haiku-4-5,estabilidad_fin,10,63.64785210765376,8.378327539668504,59.07262204772771,68.8210470423585
claude-haiku-4-5,estres_fin,10,30.993711697796083,1.8312689058445186,29.895601196454308,32.0522689607274
claude-haiku-4-5,gobernabilidad_fin,10,35.732350132595656,5.78522485171037,32.71262727383992,39.48527911022467
claude-haiku-4-5,idh_fin,10,72.07618085912233,0.28618655207742666,71.91036248493462,72.23859483292922
claude-haiku-4-5,pobreza_delta,10,-11.257058081554558,1.3495597914004722,-12.133627688271826,-10.568239945267546
claude-haiku-4-5,pobreza_fin,10,43.74294191844544,1.3495597914004722,42.882225540308,44.45479729453858
claude-haiku-4-5,pobreza_ini,10,55.0,0.0,55.0,55.0
claude-haiku-4-5,presup_agro_desarrollo_rural,10,10.6,0.21889875894272828,10.475,10.725
claude-haiku-4-5,presup_educacion,10,17.2,1.7511900715418263,16.1,18.2
claude-haiku-4-5,presup_infraestructura,10,11.6,1.3133925536563698,10.85,12.35
claude-haiku-4-5,presup_justicia,10,6.2,0.43779751788545657,5.95,6.475
claude-haiku-4-5,presup_otros,10,3.8,0.6566962768281849,3.425,4.175
claude-haiku-4-5,presup_proteccion_social,10,14.4,1.3133925536563698,13.65,15.15
claude-haiku-4-5,presup_salud,10,17.2,1.7511900715418263,16.2,18.2
claude-haiku-4-5,presup_seguridad,10,9.8,0.6566962768281849,9.3875,10.175
claude-haiku-4-5,presup_servicio_deuda,10,9.2,1.532291312599098,8.325,10.075
claude-haiku-4-5,reformas_radicales,10,2.3,1.2516655570345725,1.6,3.1
claude-haiku-4-5,reformas_totales,10,16.0,0.0,16.0,16.0
claude-haiku-4-5,shocks_totales,10,9.9,2.8460498941515415,8.1,11.4
claude-haiku-4-5,turnos,10,8.0,0.0,8.0,8.0
gpt-4o-mini,PIB_delta,10,31632.057495789,1660.847217964374,30684.759599335284,32640.705624681836
gpt-4o-mini,PIB_fin,10,146632.05749578896,1660.8472179643738,145674.9713860163,147647.20116813076
gpt-4o-mini,PIB_ini,10,115000.0,0.0,115000.0,115000.0
gpt-4o-mini,aprobacion_fin,10,42.005574535777605,11.1690235431469,35.98528381705353,49.07811591099776
gpt-4o-mini,aprobacion_ini,10,48.0,0.0,48.0,48.0
gpt-4o-mini,bienestar_fin,10,65.52023236798846,0.5363654920136268,65.22243773810071,65.85090312358359
gpt-4o-mini,bienestar_ini,10,57.13392857142857,0.0,57.13392857142857,57.13392857142857
gpt-4o-mini,coherencia_temporal,10,100.0,0.0,100.0,100.0
gpt-4o-mini,delta_isr_medio,10,0.0125,0.03952847075210474,0.0,0.0375
gpt-4o-mini,delta_iva_medio,10,0.0,0.0,0.0,0.0
gpt-4o-mini,deuda_fin,10,64.93574196480424,3.8411433106360704,62.48911876455274,66.9530277029189
gpt-4o-mini,diversidad_valores,10,0.0,0.0,0.0,0.0
gpt-4o-mini,estabilidad_fin,10,63.17790370884651,2.772421895040027,61.675380199375,64.9228146703401
gpt-4o-mini,estres_fin,10,30.10392631850679,1.8928172951801838,28.958612165561643,31.163474525529644
gpt-4o-mini,gobernabilidad_fin,10,41.207206764910644,5.655556765935384,38.225392847359046,44.829750374951225
gpt-4o-mini,idh_fin,10,72.82364328929641,0.1401283876019537,72.74640648999913,72.9069101145826
gpt-4o-mini,pobreza_delta,10,-13.096156072265547,1.0800726713047952,-13.749658268530705,-12.5067925592331
gpt-4o-mini,pobreza_fin,10,41.90384392773446,1.0800726713047952,41.25776993738331,42.508028765427675
gpt-4o-mini,pobreza_ini,10,55.0,0.0,55.0,55.0
gpt-4o-mini,presup_agro_desarrollo_rural,10,10.225,0.07905694150420949,10.175,10.275
gpt-4o-mini,presup_educacion,10,20.2,0.6324555320336759,19.8,20.6
gpt-4o-mini,presup_infraestructura,10,9.35,0.4743416490252569,9.05,9.65
gpt-4o-mini,presup_justicia,10,5.45,0.15811388300841897,5.35,5.55
gpt-4o-mini,presup_otros,10,2.675,0.23717082451262844,2.525,2.825
gpt-4o-mini,presup_proteccion_social,10,16.65,0.4743416490252569,16.35,16.95
gpt-4o-mini,presup_salud,10,20.2,0.6324555320336759,19.8,20.6
gpt-4o-mini,presup_seguridad,10,8.675,0.23717082451262844,8.5625,8.825
gpt-4o-mini,presup_servicio_deuda,10,6.575,0.5533985905294664,6.225,6.925
gpt-4o-mini,reformas_radicales,10,4.3,2.002775851439974,3.1,5.5
gpt-4o-mini,reformas_totales,10,16.0,0.0,16.0,16.0
gpt-4o-mini,shocks_totales,10,9.9,2.8460498941515415,8.1,11.3
gpt-4o-mini,turnos,10,8.0,0.0,8.0,8.0
