seed,replica,modelo,turnos,shocks_totales,PIB_ini,PIB_fin,PIB_delta,pobreza_ini,pobreza_fin,pobreza_delta,aprobacion_ini,aprobacion_fin,deuda_fin,bienestar_ini,bienestar_fin,gobernabilidad_fin,estabilidad_fin,idh_fin,estres_fin,coherencia_temporal,diversidad_valores,reformas_totales,reformas_radicales,delta_iva_medio,delta_isr_medio,presup_salud,presup_educacion,presup_seguridad,presup_infraestructura,presup_agro_desarrollo_rural,presup_proteccion_social,presup_servicio_deuda,presup_justicia,presup_otros
1,0,claude-haiku-4-5,8,10,115000.0,146071.33596847116,31071.33596847116,55.0,40.47725895307479,-14.522741046925212,48.0,25.102449924363707,46.560549881298016,57.13392857142857,66.0470714532158,32.56192776587869,72.52258595047607,72.50422887439575,31.454064677392736,100.0,-0.0,16,2,0.5,1.125,19.0,19.0,9.125,10.25,10.375,15.75,7.625,5.75,3.125
1,0,gpt-4o-mini,8,10,115000.0,147080.2583120828,32080.25831208279,55.0,39.67855964937447,-15.32144035062553,48.0,35.81560625399295,57.65343598187067,57.13392857142857,66.62664294160032,38.49381387605891,68.71021959563097,72.81596524415068,30.21994150732003,100.0,-0.0,16,5,0.0,0.0,20.0,20.0,8.75,9.5,10.25,16.5,6.75,5.5,2.75
2,0,claude-haiku-4-5,8,11,115000.0,143827.22366144968,28827.22366144968,55.0,44.40645324338206,-10.59354675661794,48.0,21.967444097417765,83.78255911134596,57.13392857142857,63.863121284195245,30.7486697726946,57.67384804664464,72.08770538933544,29.332908926437582,100.0,-0.0,16,3,0.6875,1.5,18.0,18.0,9.5,11.0,10.5,15.0,8.5,6.0,3.5
2,0,gpt-4o-mini,8,11,115000.0,145030.49023640223,30030.490236402227,55.0,42.456123897895004,-12.543876102104996,48.0,32.99789943998028,62.67493924957702,57.13392857142857,65.37337935947164,38.10655769840783,65.64845562450522,72.87280056057324,28.557969182450215,100.0,-0.0,16,5,0.0,0.0,21.0,21.0,8.375,8.75,10.125,17.25,5.875,5.25,2.375
3,0,claude-haiku-4-5,8,9,115000.0,146507.19253972592,31507.19253972592,55.0,45.56890640010925,-9.431093599890751,48.0,39.69446880218789,64.6211304142366,57.13392857142857,62.75664975565827,38.73294638902809,61.71792601659663,71.62910716313897,32.63933222165811,100.0,-0.0,16,3,0.1875,1.0625,15.0,15.0,10.625,13.25,10.875,12.75,11.125,6.75,4.625
3,0,gpt-4o-mini,8,9,115000.0,146720.54616009482,31720.54616009482,55.0,42.76624146506024,-12.23375853493976,48.0,50.95260093080466,66.8066711590402,57.13392857142857,65.04420601106136,43.855696532274244,61.32417443850085,72.78612587957724,31.87786121591261,100.0,-0.0,16,8,0.0,0.0,20.0,20.0,8.75,9.5,10.25,16.5,6.75,5.5,2.75
4,0,claude-haiku-4-5,8,9,115000.0,147042.74987510193,32042.74987510193,55.0,44.17639453465576,-10.823605465344237,48.0,37.54287356267546,70.26358260760134,57.13392857142857,63.640550181941286,38.39500847509274,58.82534707293817,71.90142862846142,31.17735144109698,100.0,-0.0,16,1,0.375,0.8125,16.0,16.0,10.25,12.5,10.75,13.5,10.25,6.5,4.25
4,0,gpt-4o-mini,8,9,115000.0,147411.31754978845,32411.31754978845,55.0,41.33591465212931,-13.664085347870689,48.0,48.227866916280135,66.1013532144071,57.13392857142857,65.94748659792656,44.61812816737562,60.96001888183598,73.07122047412656,29.774965367438213,100.0,-0.0,16,5,0.0,0.0,21.0,21.0,8.375,8.75,10.125,17.25,5.875,5.25,2.375
5,0,claude-haiku-4-5,8,12,115000.0,143546.9831987335,28546.983198733506,55.0,44.087965888637555,-10.912034111362445,48.0,21.67002163236436,80.42926696258573,57.13392857142857,64.1965841487399,29.85058873095292,55.60580471744871,72.29179574825588,31.50120028314973,100.0,-0.0,16,3,0.1875,1.375,19.0,19.0,9.125,10.25,10.375,15.75,7.625,5.75,3.125
5,0,gpt-4o-mini,8,12,115000.0,144278.18003733578,29278.180037335784,55.0,42.80511704636659,-12.19488295363341,48.0,32.19729475092745,67.64798097170583,57.13392857142857,65.19452037087996,37.131979777041764,59.368001659111485,72.80942472418039,30.881326655728884,100.0,-0.0,16,2,0.0,0.0,21.0,21.0,8.375,8.75,10.125,17.25,5.875,5.25,2.375
