seed,replica,modelo,t,n_shocks,pib_usd_mm,crecimiento_pib,inflacion,deuda_pib,balance_fiscal_pib,pobreza_general,homicidios_100k,aprobacion_presidencial,indice_protesta,confianza_institucional,presup_salud,presup_educacion,presup_seguridad,presup_infraestructura,presup_agro_desarrollo_rural,presup_proteccion_social,presup_servicio_deuda,presup_justicia,presup_otros,delta_iva_pp,delta_isr_pp,n_reformas,ind_bienestar,ind_gobernabilidad,ind_desarrollo_humano,ind_estabilidad_macro,ind_estres_social
1,0,claude-haiku-4-5,0,1,118442.6623334754,2.9936194204133924,4.179735311860436,29.565810860174707,-1.065810860174707,53.32773364672155,16.693483071331567,43.22309848149208,32.616347364358234,26.148085826124017,14.0,14.0,11.0,14.0,11.0,12.0,12.0,7.0,5.0,1.0,2.0,2,58.06834602986472,40.85434677484426,68.08497498567718,75.4414363790959,36.39754789203823
1,0,claude-haiku-4-5,1,1,122556.55680258927,3.473321511071076,4.0118919190526245,30.707941397392606,-1.1421305372179,51.00057942530614,15.867702967627055,40.24873829912031,34.3020648973879,27.26786940552674,14.0,14.0,11.0,14.0,11.0,12.0,12.0,7.0,5.0,0.0,0.0,2,59.33839352072107,39.82336323855055,68.6046169139234,77.04493931809013,35.02824821019452
1,0,claude-haiku-4-5,2,0,127340.54090231875,3.9034909469881534,4.276879701618167,31.882883722250227,-1.1749423248576223,49.19750242736439,15.978805738784027,39.72133641442146,31.288297334357907,28.348736278794174,14.0,14.0,11.0,14.0,11.0,12.0,12.0,7.0,5.0,0.5,1.0,2,60.33985143454717,40.37830035898447,69.17481420163934,78.1867283624818,33.60386266205849
1,0,claude-haiku-4-5,3,0,130991.67417501868,2.8672198553802795,4.438171059916082,33.15592309531507,-1.2730393730648415,47.38313210573128,15.39746223733649,41.18526226475159,24.608505378337643,28.95659179358913,22.0,22.0,8.0,8.0,10.0,18.0,5.0,5.0,2.0,0.5,2.0,2,61.51733527200319,41.80059700332671,69.85072376462948,76.33159497838207,31.13277890344191
1,0,claude-haiku-4-5,4,2,135040.47072272422,3.090880831323597,4.300466315889401,34.695631761087576,-1.5397086657725056,45.479817007227915,15.384783872270749,34.55939304537745,34.89343317556916,29.54036727394784,22.0,22.0,8.0,8.0,10.0,18.0,5.0,5.0,2.0,1.0,2.5,2,62.74040330760519,37.11516434770693,70.55309996290515,77.2730831304978,32.178260169797774
1,0,claude-haiku-4-5,5,4,136498.4801046897,1.079683278769955,3.5618328881255565,38.6023675564126,-3.9067357953250297,44.15945566470821,16.615167883358005,27.114840361902864,49.3036950890532,29.43321716648665,22.0,22.0,8.0,8.0,10.0,18.0,5.0,5.0,2.0,0.0,1.5,2,63.66470754326559,32.019199323558034,71.01539235065971,69.39255211959113,34.875590853195554
1,0,claude-haiku-4-5,6,0,141010.03556311427,3.305205636696012,3.9485203747931497,42.51521055873494,-3.9128430023223424,42.76375464855549,16.91807816326621,27.899399535016038,39.12260910695791,30.009796282522455,22.0,22.0,8.0,8.0,10.0,18.0,5.0,5.0,2.0,0.5,1.0,2,64.62762336166291,33.62720814593287,71.74307658009407,73.33034319223408,32.416955869021955
1,0,claude-haiku-4-5,7,2,146071.33596847116,3.5893192886200813,3.8512495637919915,46.560549881298016,-4.045339322563071,40.47725895307479,17.142732570267984,25.102449924363707,38.22090856616849,30.58512262673011,22.0,22.0,8.0,8.0,10.0,18.0,5.0,5.0,2.0,0.5,-1.0,2,66.0470714532158,32.56192776587869,72.50422887439575,72.52258595047607,31.454064677392736
1,0,gpt-4o-mini,0,1,118558.81233347542,3.0946194204133923,4.204985311860437,30.480710860174707,-1.980710860174707,52.74238364672155,16.73473307133156,44.87046848149208,29.382207364358234,26.178385826124018,22.0,22.0,8.0,8.0,10.0,18.0,5.0,5.0,2.0,0.0,0.0,2,58.53857600010282,42.828043374844256,68.32477628338661,74.11726790590242,35.45130764203823
1,0,gpt-4o-mini,1,1,122628.13195246768,3.432321511071076,4.015676184677623,32.391841397392604,-1.9111305372179002,49.87957942530615,15.950727925305378,42.096780886620316,31.104645897387904,27.281324405526735,22.0,22.0,8.0,8.0,10.0,18.0,5.0,5.0,2.0,0.0,0.0,2,60.25338221119726,40.74169079180055,69.0674458925091,75.49017469123262,33.816704396087296
1,0,gpt-4o-mini,2,0,127516.85301991175,3.986622799847434,4.299914043057694,35.0149705369643,-2.6231291395716942,48.04740627886365,16.06170615902583,43.32253668489963,28.110452724957614,28.385112584651953,14.0,14.0,11.0,14.0,11.0,12.0,12.0,7.0,5.0,0.0,0.0,2,61.269751901129986,42.03950246297816,69.6473890559949,75.55038483566089,32.38062577414447
1,0,gpt-4o-mini,3,0,131284.3301356731,2.9544934857928666,4.472966244986157,38.54496936170195,-3.5299988247376546,46.202490186586125,15.480445557998538,46.53839158620903,21.435080692689336,29.01369374269202,22.0,22.0,8.0,8.0,10.0,18.0,5.0,5.0,2.0,0.0,0.0,2,62.46289044604126,44.070583204619794,70.33363287231987,72.01650336175432,29.894111646456942
1,0,gpt-4o-mini,4,2,135566.0158029191,3.2613836417653026,4.362749017965388,42.464587198103104,-3.919617836401148,44.23949910442817,15.467850176253457,41.69601119095489,28.699895031648197,29.64005477381781,22.0,22.0,8.0,8.0,10.0,18.0,5.0,5.0,2.0,0.0,0.0,2,63.71654242326626,41.570303063644005,71.0561467594496,72.30959910064325,30.40240789590802
1,0,gpt-4o-mini,5,4,137071.58615485765,1.1105809542468739,3.6047143848906127,47.54314239650908,-5.078555198405981,42.90832357549154,16.698317253644696,35.98282856565005,43.538734831033715,29.527220844019197,22.0,22.0,8.0,8.0,10.0,18.0,5.0,5.0,2.0,0.0,0.0,2,64.64638892946532,36.33463863696856,71.5221635169971,65.69031062787263,33.28114072489763
1,0,gpt-4o-mini,6,0,141823.47098903617,3.466717623600006,4.013655739745011,52.59915360322198,-5.056011206712895,42.006093363922425,16.95956488978908,38.44756769718035,33.91932837378812,30.13815300449632,14.0,14.0,11.0,14.0,11.0,12.0,12.0,7.0,5.0,0.0,0.0,2,65.18616286527545,39.0794722768333,72.04102769104834,69.62413148177092,31.106005649491557
1,0,gpt-4o-mini,7,2,147080.2583120828,3.7065707716693717,3.917971357291711,57.65343598187067,-5.0542823786486935,39.67855964937447,17.184260783517377,35.81560625399295,33.47864022149405,30.72940128532268,22.0,22.0,8.0,8.0,10.0,18.0,5.0,5.0,2.0,0.0,0.0,2,66.62664294160032,38.49381387605891,72.81596524415068,68.71021959563097,30.21994150732003
2,0,claude-haiku-4-5,0,1,117713.38705985491,2.35946700856948,3.905583129449562,30.215662382919707,-1.7156623829197077,53.387033621423505,16.359115946913818,44.72036753485225,32.64429389173934,25.957840102570845,22.0,22.0,8.0,8.0,10.0,18.0,5.0,5.0,2.0,1.5,2.0,2,58.20819288806807,41.371555605125664,68.23756921628305,73.54306981989771,36.414837513411285
2,0,claude-haiku-4-5,1,1,120481.45787646345,2.351534422504568,3.5291311269104124,34.332261038937496,-4.116598656017792,52.37342506836483,15.800372169183262,42.69940370938914,32.63288917976715,26.76962441393659,14.0,14.0,11.0,14.0,11.0,12.0,12.0,7.0,5.0,0.5,-0.5,2,58.80504822389159,40.91187385431884,68.62437870709925,69.37186777266821,35.384862338548146
2,0,claude-haiku-4-5,2,1,124256.69964189915,3.133462884642925,3.467037131717858,39.47665558870017,-5.1443945497626755,50.50618873147641,15.590230743535084,42.24605956739382,28.875872682365838,27.69421961723898,22.0,22.0,8.0,8.0,10.0,18.0,5.0,5.0,2.0,0.5,1.5,2,60.00962589416595,41.30940351822402,69.33178729084817,68.75879257231284,33.40435513962342
2,0,claude-haiku-4-5,3,3,126990.72602710359,2.200305008167575,3.479314818335066,46.86435279796607,-7.3876972092659,48.927003349047084,16.118723526560004,34.11525211979051,36.177050455886366,28.200178177103403,22.0,22.0,8.0,8.0,10.0,18.0,5.0,5.0,2.0,0.5,3.0,2,61.06657745028002,37.08405884879021,69.9284353601848,62.81734878185263,34.3489001500603
2,0,claude-haiku-4-5,4,3,131628.54543693038,3.6520929952293804,3.729569862899791,55.5699051880123,-8.705552390046227,47.68653080088596,15.101293292675807,26.55284582947838,39.34837218163478,29.065779349106705,14.0,14.0,11.0,14.0,11.0,12.0,12.0,7.0,5.0,0.5,1.5,2,61.779700583593545,33.21343396691269,70.4691127568608,64.01610909590912,34.04427505428585
2,0,claude-haiku-4-5,5,1,134204.3561397163,1.9568784979244087,3.5358196980585372,64.9564622024694,-9.386557014457093,47.378705319880886,14.296700912473968,24.551778988417386,34.50652784006493,29.29297599611802,14.0,14.0,11.0,14.0,11.0,12.0,12.0,7.0,5.0,0.5,1.5,2,62.014842094989596,33.010965080213026,70.80884401603818,58.80041412616387,32.751914468741894
2,0,claude-haiku-4-5,6,1,138792.49519654355,3.4187705889745037,4.0883894552536,74.32109952372019,-9.364637321250799,45.79698437965903,13.5225148737423,21.208903301526192,30.06325209210545,26.924660773392667,14.0,14.0,11.0,14.0,11.0,12.0,12.0,7.0,5.0,0.5,0.0,2,62.90285502923425,31.420464961985328,71.3220598744704,59.96235280064953,30.610691185373994
2,0,claude-haiku-4-5,7,0,143827.22366144968,3.6275221205415105,3.716859478679247,83.78255911134596,-9.461459587625772,44.40645324338206,14.169532654292453,21.967444097417765,25.203223710359133,24.97421829354622,22.0,22.0,8.0,8.0,10.0,18.0,5.0,5.0,2.0,1.0,3.0,2,63.863121284195245,30.7486697726946,72.08770538933544,57.67384804664464,29.332908926437582
2,0,gpt-4o-mini,0,1,117972.13705985491,2.5844670085694803,3.961833129449562,30.625662382919707,-2.125662382919707,53.308283621423506,16.359115946913818,46.30361753485225,31.612793891739337,26.025340102570844,22.0,22.0,8.0,8.0,10.0,18.0,5.0,5.0,2.0,0.0,0.0,2,58.24855226306807,42.99979060512567,68.26432605795061,73.40792121849911,36.16640626341129
2,0,gpt-4o-mini,1,1,120786.40299838202,2.385534422504568,3.568895580035412,33.1413610389375,-2.5156986560177916,51.73277506836483,15.841269959050543,44.395972146889136,31.49985417976714,26.837199413936585,22.0,22.0,8.0,8.0,10.0,18.0,5.0,5.0,2.0,0.0,0.0,2,59.30361944412968,42.37516711056884,68.88304003139226,71.98429693113994,34.82914018517057
2,0,gpt-4o-mini,2,1,124671.61509223001,3.2165972306502453,3.510254116692694,36.02904215409944,-2.8876811151619433,49.83644171037385,15.631169431192232,45.58357099413813,27.644894123924804,27.77659867104117,22.0,22.0,8.0,8.0,10.0,18.0,5.0,5.0,2.0,0.0,0.0,2,60.523109337719106,42.61575111979106,69.60026752183454,72.92993448330445,32.81349100086439
2,0,gpt-4o-mini,3,3,127526.07418018047,2.2895821842355786,3.5262264166749064,39.99859821115781,-3.9695560570583672,48.22600931632072,16.159703152904807,39.10007166244222,36.85032106812094,28.29698352565567,22.0,22.0,8.0,8.0,10.0,18.0,5.0,5.0,2.0,0.0,0.0,2,61.59607498729038,39.10958495879361,70.20755593989107,69.4447618740337,34.122182340446884
