seed,replica,model,delta_hogares,delta_ninios,muertes_anuales,welfare_usd_mm
1,0,claude_haiku_4_5,-528627.7741080776,-41495.99999999889,-7780.499999999945,-8350.576101981997
1,0,gpt_4o_mini,-557700.4287627692,-46300.79999999885,-8681.39999999994,-8809.828201609678
2,0,claude_haiku_4_5,-385605.101940893,-36691.199999998906,-6879.59999999995,-6091.289385055315
2,0,gpt_4o_mini,-456597.0901166218,-51105.599999998834,-9582.299999999937,-7212.728758710373
3,0,claude_haiku_4_5,-343291.80703602335,-22276.79999999898,-4176.899999999964,-5422.878819937182
3,0,gpt_4o_mini,-445308.81067180727,-46300.79999999885,-8681.39999999994,-7034.411157590363
4,0,claude_haiku_4_5,-393979.2389385302,-27081.599999998958,-5077.799999999959,-6223.573142572936
4,0,gpt_4o_mini,-497372.7066624931,-51105.599999998834,-9582.299999999937,-7856.849075025647
5,0,claude_haiku_4_5,-397198.041653593,-41495.99999999889,-7780.499999999945,-6274.419614033406
5,0,gpt_4o_mini,-443893.73951225606,-51105.599999998834,-9582.299999999937,-7012.057698339209
6,0,claude_haiku_4_5,-389621.3223226905,-22276.79999999898,-4176.899999999964,-6154.732426800743
6,0,gpt_4o_mini,-498042.9711493434,-46300.79999999885,-8681.39999999994,-7867.437044254739
7,0,claude_haiku_4_5,-397919.62006442697,-27081.599999998958,-5077.799999999959,-6285.818174094657
7,0,gpt_4o_mini,-485711.62198729086,-46300.79999999885,-8681.39999999994,-7672.642380293743
8,0,claude_haiku_4_5,-429414.45791559026,-41495.99999999889,-7780.499999999945,-6783.332783007263
8,0,gpt_4o_mini,-459095.84681258874,-46300.79999999885,-8681.39999999994,-7252.2008768472115
9,0,claude_haiku_4_5,-440161.1173571294,-27081.599999998958,-5077.799999999959,-6953.094573635973
9,0,gpt_4o_mini,-501364.3534383864,-41495.99999999889,-7780.499999999945,-7919.903934809675
10,0,claude_haiku_4_5,-391750.6603489043,-41495.99999999889,-7780.499999999945,-6188.36894781923
10,0,gpt_4o_mini,-421913.2411911011,-46300.79999999885,-8681.39999999994,-6664.8382880462395
