model,dim,n_seeds,w_mean,w_std,ic95_lo,ic95_hi
claude_haiku_4_5,anti_desviacion_inflacion,10,0.06575938981097566,0.06521853448851786,0.026667550868953224,0.1050635143252705
claude_haiku_4_5,anti_deuda,10,0.02958565102122021,0.043481779068743016,0.002589992215236165,0.05221841544663276
claude_haiku_4_5,anti_pobreza,10,1.1440509310697888,0.43192591656908697,0.9018636708251847,1.3894668473055898
claude_haiku_4_5,pro_aprobacion,10,-0.18105254995948417,0.3514623510669191,-0.39155687450307247,0.015044027362086841
claude_haiku_4_5,pro_confianza,10,-0.0006275523825830626,0.029486966407221617,-0.018046074821183963,0.01731184211288788
claude_haiku_4_5,pro_crecimiento,10,0.0002932011776908071,0.08815645550316116,-0.05214056826407045,0.052775841761447326
gpt_4o_mini,anti_desviacion_inflacion,10,-0.035585277532366025,0.041007466384176065,-0.06213216913491438,-0.013478298914718561
gpt_4o_mini,anti_deuda,10,0.005864873814712625,0.05369568432103039,-0.023798375915897323,0.037965547425426543
gpt_4o_mini,anti_pobreza,10,1.9280926250610009,0.203826411819679,1.8124715225789227,2.0497800596327513
gpt_4o_mini,pro_aprobacion,10,-0.15568222089239986,0.33775466445345126,-0.34912336124991145,0.0430074304243029
gpt_4o_mini,pro_confianza,10,0.036851295088261384,0.036260761085737156,0.015584800413791448,0.05732970474935534
gpt_4o_mini,pro_crecimiento,10,0.12255740660390227,0.1292403022188663,0.04691964051954592,0.19637966848064534
