seed,replica,model,dim,w_mean,hdi_lo,hdi_hi
1,0,claude_haiku_4_5,anti_pobreza,1.6144553506298616,0.20081210736684066,3.0012205519810435
1,0,claude_haiku_4_5,anti_deuda,0.05412546319012792,-1.8232274280810192,1.9146618690329242
1,0,claude_haiku_4_5,pro_aprobacion,-0.02542728870636362,-1.3412793238234684,1.3611632248352
1,0,claude_haiku_4_5,pro_crecimiento,0.11239447833914466,-1.8193283452883315,2.0538136092800605
1,0,claude_haiku_4_5,anti_desviacion_inflacion,0.09354249932756845,-1.7774478007848786,1.9480680659366834
1,0,claude_haiku_4_5,pro_confianza,0.03593955531421682,-1.9057275072596445,2.057738460169789
1,0,gpt_4o_mini,anti_pobreza,1.9040116165251968,0.533673526647332,3.2718688962896056
1,0,gpt_4o_mini,anti_deuda,-0.009533737776013728,-1.9823696339570047,2.0056552737105373
1,0,gpt_4o_mini,pro_aprobacion,-0.3296666474529614,-1.735768139940696,1.0502975654138949
1,0,gpt_4o_mini,pro_crecimiento,0.1903506713509066,-1.6754980375464008,2.1568139136894366
1,0,gpt_4o_mini,anti_desviacion_inflacion,-0.12975812612124787,-2.0606475968770193,1.8034102089212116
1,0,gpt_4o_mini,pro_confianza,0.06779348732496855,-1.89365775878949,1.9477250979282243
2,0,claude_haiku_4_5,anti_pobreza,1.251827234968712,-0.21223797913546943,2.533633448973102
2,0,claude_haiku_4_5,anti_deuda,-0.06806442671398294,-2.0125891254872275,1.860567735700594
2,0,claude_haiku_4_5,pro_aprobacion,-0.7723080322028056,-2.0359448808714316,0.7361706358271304
2,0,claude_haiku_4_5,pro_crecimiento,-0.010484448593407546,-2.002593563402594,1.887285962293399
2,0,claude_haiku_4_5,anti_desviacion_inflacion,-0.023173314553176363,-1.9793529713940088,1.881951148838606
2,0,claude_haiku_4_5,pro_confianza,0.002251422314920759,-1.9216998750998147,1.9608595069510468
2,0,gpt_4o_mini,anti_pobreza,2.1896870513072026,0.904135008209974,3.659951114470364
2,0,gpt_4o_mini,anti_deuda,-0.04960132745178489,-2.021906851920289,1.8585432670927184
2,0,gpt_4o_mini,pro_aprobacion,0.3511048781825296,-1.071623174944002,1.8023400801406637
2,0,gpt_4o_mini,pro_crecimiento,0.06681623625940447,-1.7867554179642298,2.1259235621875634
2,0,gpt_4o_mini,anti_desviacion_inflacion,-0.05394874665713745,-1.9771323056097938,1.81359682114889
2,0,gpt_4o_mini,pro_confianza,0.012333416157702547,-1.9866892177310345,1.984921716586955
3,0,claude_haiku_4_5,anti_pobreza,0.6130132576249812,-0.7518321218683359,2.0131728226301036
3,0,claude_haiku_4_5,anti_deuda,0.0746038039865227,-1.8330408556048783,2.0377092383337363
3,0,claude_haiku_4_5,pro_aprobacion,0.019414076442183823,-1.3459074142215544,1.3316214008937397
3,0,claude_haiku_4_5,pro_crecimiento,-0.13278057686642158,-2.1407121974086496,1.6630513274786023
3,0,claude_haiku_4_5,anti_desviacion_inflacion,0.026881850359796906,-1.889117771866326,1.8738783213195727
3,0,claude_haiku_4_5,pro_confianza,-0.04357584598690156,-2.0730659298129055,1.7890875374221766
3,0,gpt_4o_mini,anti_pobreza,1.7727198995133835,0.4760394567616643,3.247981530373306
3,0,gpt_4o_mini,anti_deuda,0.004777511708070971,-1.8688895589987784,2.002687769953494
3,0,gpt_4o_mini,pro_aprobacion,-0.46871194217234885,-1.8512897472049945,0.9406454307638736
3,0,gpt_4o_mini,pro_crecimiento,-0.09684068647739365,-2.049006390757998,1.7028414590791834
3,0,gpt_4o_mini,anti_desviacion_inflacion,-0.0029870809962317733,-2.0165737906356527,1.781675716338826
3,0,gpt_4o_mini,pro_confianza,-0.018031551375571525,-1.90192928488361,1.9394811641952472
4,0,claude_haiku_4_5,anti_pobreza,0.7575150694513407,-0.6014210155611011,2.1896788531928446
4,0,claude_haiku_4_5,anti_deuda,0.08171389197053873,-2.0081534211180987,2.0006298657277948
4,0,claude_haiku_4_5,pro_aprobacion,-0.6941220982185308,-2.0795948941009312,0.6683464218056915
4,0,claude_haiku_4_5,pro_crecimiento,-0.02213152739822364,-1.8635638549218283,1.8463153593725967
4,0,claude_haiku_4_5,anti_desviacion_inflacion,0.0676384360400818,-1.8700200731535541,2.0253836951456523
4,0,claude_haiku_4_5,pro_confianza,-0.018589214389152727,-2.0924791067021817,1.8744282458981505
